team_id,team,presupuesto_fichajes,presupuesto_sueldos,competicion
143,Lille,10500000,806000,France - Ligue 1
131,Paris Saint-Germain,9000000,963250,France - Ligue 1
147,Marseille,18000000,1311000,France - Ligue 1
140,Caen,3500000,471250,France - Ligue 1
133,Troyes,2200000,390500,France - Ligue 1
160,Gazélec Ajaccio,2000000,261250,France - Ligue 1
144,Nantes,5000000,613750,France - Ligue 1
142,Guingamp,3200000,597000,France - Ligue 1
136,OGC Nice,4500000,607500,France - Ligue 1
129,AS Monaco,55000000,1458000,France - Ligue 1
139,Montpellier,7500000,773500,France - Ligue 1
145,Angers,2400000,333500,France - Ligue 1
2736,Bastia,2800000,377500,France - Ligue 1
134,Rennes,9000000,963250,France - Ligue 1
146,Bordeaux,7000000,882250,France - Ligue 1
156,Stade de Reims,3000000,579500,France - Ligue 1
130,Toulouse,5500000,789250,France - Ligue 1
135,Saint-Étienne,5000000,613750,France - Ligue 1
137,Lyon,17000000,1733750,France - Ligue 1
165,Lorient,3700000,586000,France - Ligue 1
