team_id,team,presupuesto_fichajes,presupuesto_sueldos,competicion
226,Hellas Verona,5500000,862000,Italy - Serie A
229,AS Roma,34000000,2290000,Italy - Serie A
236,Lazio,17500000,2048000,Italy - Serie A
240,Bologna,12000000,604000,Italy - Serie A
224,Juventus,60000000,3309000,Italy - Serie A
230,Udinese,17500000,985000,Italy - Serie A
291,Frosinone,1800000,181000,Italy - Serie A
241,Torino,14000000,1131000,Italy - Serie A
232,Sassuolo,10000000,683000,Italy - Serie A
227,Napoli,27500000,2251000,Italy - Serie A
290,Empoli,3400000,493000,Italy - Serie A
231,Chievo,4600000,851000,Italy - Serie A
2256,Palermo,9000000,641000,Italy - Serie A
233,Genoa,12000000,1060000,Italy - Serie A
238,Inter Milan,37500000,2132000,Italy - Serie A
228,Atalanta,7000000,986000,Italy - Serie A
239,Fiorentina,19500000,1257000,Italy - Serie A
243,AC Milan,40000000,2269000,Italy - Serie A
234,Sampdoria,10500000,850000,Italy - Serie A
1683,Carpi,1900000,597000,Italy - Serie A
