player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
2968,Elias Kachunga,Ingolstadt,189,"['Right Wing', 'Right Center Forward', 'Left Wing', 'Center Forward', 'Left Center Midfield']",10
3016,Allan Saint-Maximin,Hannover 96,178,"['Center Attacking Midfield', 'Right Center Forward', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Wing Back', 'Center Forward', 'Left Center Forward']",16
3053,Leroy Sané,Schalke 04,181,"['Left Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Left Wing Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Forward', 'Left Attacking Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield']",33
3058,Javier Hernández Balcázar,Bayer Leverkusen,904,"['Center Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward']",28
3083,Heung-Min Son,Bayer Leverkusen,904,"['Left Wing', 'Left Midfield']",1
3089,Kevin De Bruyne,Wolfsburg,179,"['Left Wing', 'Center Attacking Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Center Midfield']",2
3097,Pascal Groß,Ingolstadt,189,"['Right Center Midfield', 'Right Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Forward', 'Right Defensive Midfield', 'Left Center Forward']",32
3164,Marcelo Antônio Guedes Filho,Hannover 96,178,"['Right Center Back', 'Center Back']",19
3186,Julian Draxler,Wolfsburg,179,"['Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Forward', 'Right Midfield', 'Left Center Midfield', 'Left Center Forward', 'Center Forward']",24
3197,Dante Bonfim da Costa Santos,Wolfsburg,179,"['Center Back', 'Left Center Back']",24
3221,Markus Suttner,Ingolstadt,189,['Left Back'],18
3275,Henrikh Mkhitaryan,Borussia Dortmund,180,"['Left Wing', 'Right Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing Back', 'Right Center Midfield', 'Left Center Back', 'Right Wing Back', 'Left Center Midfield']",31
