player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3023,Yuri Berchiche Izeta,Real Sociedad,210,['Left Back'],21
3063,Danilo Luiz da Silva,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing']",24
3084,Christian Atsu Twasam,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Left Center Back']",11
3130,Gaël Kakuta,Sevilla,213,"['Left Midfield', 'Right Wing']",2
3160,Rene Krhin,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",23
3236,Sergi Darder Moll,Málaga,223,['Left Defensive Midfield'],1
3240,Mathew Ryan,Valencia,207,['Goalkeeper'],8
3253,Adil Rami,Sevilla,213,"['Right Center Back', 'Left Center Back', 'Center Attacking Midfield']",28
3292,Abdoulaye Doucouré,Granada,1049,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']",15
3302,Nordin Amrabat,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward']",13
3324,Eric Bertrand Bailly,Villarreal,222,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']",25
3379,Alphonse Areola,Villarreal,222,['Goalkeeper'],32
3486,Fernando Llorente Torres,Sevilla,213,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']",23
3497,Vicente Iborra De La Fuente,Sevilla,213,"['Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Attacking Midfield']",29
3508,Sandro Ramírez Castillo,Barcelona,217,"['Left Wing', 'Center Forward', 'Right Wing', 'Right Midfield']",10
3601,Charly Musonda Junior,Real Betis,218,"['Right Midfield', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Defensive Midfield', 'Right Wing Back', 'Left Wing Back', 'Left Center Midfield']",16
