player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
2956,Bertrand Isidore Traoré,Chelsea,33,"['Left Wing Back', 'Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Right Defensive Midfield']",10
2966,Stéphane Sessègnon,West Bromwich Albion,27,"['Right Midfield', 'Left Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Wing']",25
2988,Memphis Depay,Manchester United,39,"['Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Center Forward']",29
3037,Mousa Sidi Yaya Dembélé,Tottenham Hotspur,38,"['Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Left Center Back']",29
3041,Ciaran Clark,Aston Villa,59,"['Left Center Back', 'Right Center Back', 'Right Back']",17
3043,Christian Dannemann Eriksen,Tottenham Hotspur,38,"['Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Right Attacking Midfield', 'Left Defensive Midfield']",35
3044,Chancel Mbemba Mangulu,Newcastle United,37,"['Right Center Back', 'Right Back', 'Left Center Back']",33
3049,Matt Ritchie,AFC Bournemouth,28,"['Right Midfield', 'Left Midfield', 'Right Center Midfield']",37
3052,Pablo Javier Zabaleta Girod,Manchester City,36,['Right Back'],13
3054,Fernando Luiz Rosa,Manchester City,36,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Center Back', 'Right Center Back']",33
3057,Jonjo Shelvey,Newcastle United,37,"['Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Back']",30
3058,Javier Hernández Balcázar,Manchester United,39,['Center Forward'],1
3062,Aaron Cresswell,West Ham United,40,"['Left Back', 'Left Wing Back']",37
3064,David Josué Jiménez Silva,Manchester City,36,"['Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Center Midfield', 'Right Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Attacking Midfield']",24
3065,Paul Dummett,Newcastle United,37,"['Left Back', 'Left Wing Back']",23
3076,Ayoze Pérez Gutiérrez,Newcastle United,37,"['Left Wing', 'Right Center Midfield', 'Left Midfield', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Left Attacking Midfield', 'Left Center Midfield', 'Right Wing', 'Right Defensive Midfield']",34
3077,Jan Vertonghen,Tottenham Hotspur,38,"['Left Center Back', 'Center Back', 'Right Center Back']",29
3081,Jamaal Lascelles,Newcastle United,37,"['Left Back', 'Left Center Back', 'Right Back', 'Right Center Back', 'Right Center Midfield']",18
3083,Heung-Min Son,Tottenham Hotspur,38,"['Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Attacking Midfield', 'Left Defensive Midfield', 'Center Forward', 'Right Defensive Midfield']",28
3085,Glenn Murray,AFC Bournemouth,28,"['Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Midfield', 'Right Midfield']",21
3086,Ben Davies,Tottenham Hotspur,38,"['Left Back', 'Left Center Back']",17
