player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3034,Kamil Glik,Torino,241,"['Center Back', 'Right Center Back', 'Left Center Back']",33
3103,Milan Biševac,Lazio,236,['Right Center Back'],11
3112,Anton Ciprian Tătărușanu,Fiorentina,239,['Goalkeeper'],37
3125,Danilo Fernando Avelar,Torino,241,"['Left Wing Back', 'Left Back']",6
3145,Keita Baldé Diao,Lazio,236,"['Center Forward', 'Left Wing', 'Right Wing', 'Left Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Right Midfield']",31
3167,Antonio Rüdiger,AS Roma,229,"['Left Center Back', 'Right Center Back', 'Right Back', 'Left Back']",30
3287,Nathaniel Chalobah,Napoli,227,['Left Center Midfield'],5
3371,Mario Barwuah Balotelli,AC Milan,243,"['Right Center Forward', 'Left Wing', 'Left Center Forward', 'Center Forward']",20
3412,Assane Dioussé El Hadji,Empoli,290,"['Center Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield']",15
3416,Gabriel Moisés Antunes da Silva,Genoa,233,"['Left Midfield', 'Left Back', 'Left Wing Back', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Wing Back']",27
3434,Stevan Jovetić,Inter Milan,238,"['Left Center Forward', 'Left Wing', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Right Wing', 'Left Midfield']",26
3477,Álvaro Borja Morata Martín,Juventus,224,"['Right Center Forward', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Center Forward', 'Center Attacking Midfield']",34
3486,Fernando Llorente Torres,Juventus,224,['Right Center Forward'],1
3531,Mohamed Salah,AS Roma,229,"['Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Midfield', 'Right Attacking Midfield', 'Center Forward']",34
3556,Serge Gakpé,Atalanta,228,"['Right Center Forward', 'Center Forward', 'Right Wing', 'Right Wing Back', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Center Midfield']",18
3577,Molla Wagué,Udinese,230,"['Right Center Back', 'Left Center Back', 'Center Back']",21
3579,Roberto Maximiliano Pereyra,Juventus,224,"['Right Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Right Defensive Midfield']",13
3588,Wesley Hoedt,Lazio,236,"['Left Center Back', 'Right Center Back']",25
3660,Davide Zappacosta,Torino,241,"['Right Wing Back', 'Right Back', 'Left Wing Back']",25
3742,Orestis Karnezis,Udinese,230,['Goalkeeper'],38
3949,Manolo Gabbiadini,Napoli,227,"['Right Center Forward', 'Center Forward', 'Right Wing', 'Left Wing']",23
3951,Mario Lemina,Juventus,224,"['Center Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",10
3964,Marcos Alonso Mendoza,Fiorentina,239,"['Left Wing Back', 'Left Center Back', 'Left Back', 'Left Midfield', 'Right Wing Back']",31
4355,Emerson Palmieri dos Santos,AS Roma,229,"['Left Midfield', 'Right Back', 'Left Back', 'Left Wing Back', 'Left Center Midfield']",8
4369,Issa Cissokho,Genoa,233,"['Right Wing Back', 'Right Center Back', 'Right Back', 'Left Center Back', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Back']",13
4407,Sanjin Prcić,Torino,241,"['Center Defensive Midfield', 'Left Center Midfield']",2
4709,Pontus Jansson,Torino,241,"['Right Center Back', 'Center Back']",7
5204,Bruno Miguel Borges Fernandes,Udinese,230,"['Left Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Forward', 'Right Wing', 'Left Wing', 'Right Defensive Midfield']",31
5248,José Martín Cáceres Silva,Juventus,224,"['Right Center Back', 'Right Back', 'Left Center Back']",6
5255,Matías Vecino Falero,Fiorentina,239,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Wing Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Midfield']",30
5457,Ivan Strinić,Napoli,227,['Left Back'],5
5461,Šime Vrsaljko,Sassuolo,232,"['Right Back', 'Right Wing Back']",35
5465,Ante Rebić,Hellas Verona,226,"['Right Wing Back', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Center Midfield']",14
5469,Marcelo Brozović,Inter Milan,238,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Wing', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Center Defensive Midfield', 'Left Wing']",32
5472,Mario Mandžukić,Juventus,224,"['Right Center Forward', 'Left Center Forward', 'Center Forward']",27
5474,Ivan Perišić,Inter Milan,238,"['Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Left Attacking Midfield', 'Right Wing Back', 'Right Midfield', 'Left Midfield', 'Left Back', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing Back', 'Left Center Midfield']",34
5497,Gonzalo Gerardo Higuaín,Napoli,227,"['Right Center Forward', 'Left Center Forward', 'Center Forward']",35
5510,Lucas Rodrigo Biglia,Lazio,236,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']",27
5512,Emil Hallfreðsson,Udinese,230,"['Left Center Midfield', 'Left Defensive Midfield', 'Left Back', 'Left Midfield', 'Left Wing Back']",27
5541,Stephan Lichtsteiner,Juventus,224,"['Right Wing Back', 'Right Back']",26
5551,João Miranda de Souza Filho,Inter Milan,238,"['Right Center Back', 'Center Back', 'Left Center Back']",32
5554,Blerim Džemaili,Genoa,233,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Right Back', 'Left Center Midfield', 'Right Midfield', 'Left Wing', 'Right Center Midfield', 'Left Attacking Midfield']",27
5558,Rafael Márquez Álvarez,Hellas Verona,226,"['Right Center Back', 'Center Back']",9
5566,Sami Khedira,Juventus,224,"['Right Defensive Midfield', 'Right Center Midfield']",20
5584,Giancarlo González Castro,Palermo,2256,"['Center Back', 'Right Center Back', 'Left Center Back']",35
