player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_jersey_number,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur
2968,Elias Kachunga,Ingolstadt,189,"['Right Wing', 'Right Center Forward', 'Left Wing', 'Center Forward', 'Left Center Midfield']",10,70,76,1900000.0,20000.0,23,1992-04-22,178,74,25.0,,2019.0,21,Germany,Right,
3016,Allan Saint-Maximin,Hannover 96,178,"['Center Attacking Midfield', 'Right Center Forward', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Wing Back', 'Center Forward', 'Left Center Forward']",16,64,81,850000.0,2000.0,18,1997-03-12,173,67,14.0,AS Monaco,2016.0,18,France,Right,
3053,Leroy Sané,Schalke 04,181,"['Left Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Left Wing Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Forward', 'Left Attacking Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield']",33,70,83,2300000.0,25000.0,19,1996-01-11,183,75,19.0,,2019.0,21,Germany,Left,
3058,Javier Hernández Balcázar,Bayer Leverkusen,904,"['Center Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward']",28,80,80,15000000.0,110000.0,27,1988-06-01,175,71,7.0,,2018.0,83,Mexico,Right,
3097,Pascal Groß,Ingolstadt,189,"['Right Center Midfield', 'Right Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Forward', 'Right Defensive Midfield', 'Left Center Forward']",32,75,78,5000000.0,35000.0,24,1991-06-15,181,76,10.0,,2016.0,21,Germany,Right,
3164,Marcelo Antônio Guedes Filho,Hannover 96,178,"['Right Center Back', 'Center Back']",19,75,75,3200000.0,40000.0,28,1987-05-20,191,80,25.0,,2018.0,54,Brazil,Right,
3221,Markus Suttner,Ingolstadt,189,['Left Back'],18,69,69,775000.0,10000.0,28,1987-04-16,179,73,29.0,,2018.0,4,Austria,Left,
3275,Henrikh Mkhitaryan,Borussia Dortmund,180,"['Left Wing', 'Right Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing Back', 'Right Center Midfield', 'Left Center Back', 'Right Wing Back', 'Left Center Midfield']",31,81,83,19500000.0,110000.0,26,1989-01-21,177,75,10.0,,2017.0,3,Armenia,Right,
3499,Jean-Eric Maxim Choupo-Moting,Schalke 04,181,"['Right Midfield', 'Right Wing', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Right Center Midfield', 'Right Wing Back', 'Right Center Forward', 'Right Attacking Midfield', 'Left Wing Back', 'Left Defensive Midfield', 'Center Forward']",28,78,80,10500000.0,100000.0,26,1989-03-23,191,91,13.0,,2017.0,103,Cameroon,Right,
3500,Granit Xhaka,Borussia Mönchengladbach,185,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield']",28,81,85,21500000.0,80000.0,22,1992-09-27,185,82,34.0,,2019.0,47,Switzerland,Left,
