player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_jersey_number,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur
3023,Yuri Berchiche Izeta,Real Sociedad,210,['Left Back'],21,71,76,1800000.0,20000.0,25,1990-02-10,177,77,19.0,,2016.0,45,Spain,Left,
3063,Danilo Luiz da Silva,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing']",24,80,86,16500000.0,90000.0,23,1991-07-15,184,78,23.0,,2021.0,54,Brazil,Right,
3130,Gaël Kakuta,Sevilla,213,"['Left Midfield', 'Right Wing']",2,76,78,6500000.0,60000.0,24,1991-06-21,173,64,12.0,,2019.0,18,France,Left,
3160,Rene Krhin,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",23,75,80,4500000.0,35000.0,25,1990-05-21,189,78,21.0,,2019.0,44,Slovenia,Right,
3240,Mathew Ryan,Valencia,207,['Goalkeeper'],8,78,83,9500000.0,80000.0,23,1992-04-08,182,85,25.0,,2021.0,195,Australia,Right,
3253,Adil Rami,Sevilla,213,"['Right Center Back', 'Left Center Back', 'Center Attacking Midfield']",28,79,79,7500000.0,80000.0,29,1985-12-27,190,88,3.0,,2019.0,18,France,Right,
3292,Abdoulaye Doucouré,Granada,1049,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']",15,68,81,1700000.0,8000.0,20,1995-02-11,163,55,30.0,,2018.0,117,Ghana,Right,
3302,Nordin Amrabat,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward']",13,78,78,8500000.0,60000.0,28,1987-03-31,178,77,11.0,,2019.0,129,Morocco,Right,
3324,Eric Bertrand Bailly,Villarreal,222,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']",25,73,83,4100000.0,30000.0,21,1994-04-12,187,77,24.0,,2020.0,108,Côte d'Ivoire,Right,
3379,Alphonse Areola,Villarreal,222,['Goalkeeper'],32,76,85,7000000.0,40000.0,22,1993-02-27,191,88,13.0,Paris Saint-Germain,2016.0,18,France,Right,
3486,Fernando Llorente Torres,Sevilla,213,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']",23,80,80,13500000.0,90000.0,30,1985-02-26,195,90,24.0,,2018.0,45,Spain,Right,
3497,Vicente Iborra De La Fuente,Sevilla,213,"['Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Attacking Midfield']",29,81,83,16000000.0,100000.0,27,1988-01-16,195,88,8.0,,2020.0,45,Spain,Right,
3508,Sandro Ramírez Castillo,Barcelona,217,"['Left Wing', 'Center Forward', 'Right Wing', 'Right Midfield']",10,72,84,3500000.0,30000.0,19,1995-07-09,175,71,19.0,,2017.0,45,Spain,Right,
3610,Roque Mesa Quevedo,Las Palmas,208,"['Right Wing', 'Right Center Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Back']",34,71,75,1700000.0,25000.0,26,1989-06-07,168,64,15.0,,2016.0,45,Spain,Right,
3637,Grzegorz Krychowiak,Sevilla,213,"['Left Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Center Back']",26,82,86,21500000.0,110000.0,25,1990-01-29,186,85,4.0,,2018.0,37,Poland,Right,
3638,Shkodran Mustafi,Valencia,207,"['Right Center Back', 'Center Back']",30,82,87,23000000.0,130000.0,23,1992-04-17,184,82,5.0,,2019.0,21,Germany,Right,
3990,Jesé Rodríguez Ruiz,Real Madrid,220,"['Center Forward', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Right Center Midfield', 'Left Midfield']",28,78,85,12000000.0,70000.0,22,1993-02-26,178,73,20.0,,2017.0,45,Spain,Right,
4320,Neymar da Silva Santos Junior,Barcelona,217,"['Left Wing', 'Left Midfield']",34,88,93,71500000.0,240000.0,23,1992-02-05,174,68,11.0,,2018.0,54,Brazil,Right,
4324,Daniel Alves da Silva,Barcelona,217,"['Right Back', 'Left Center Back']",29,84,84,16000000.0,170000.0,32,1983-05-06,172,70,6.0,,2017.0,54,Brazil,Right,
4353,Aymeric Laporte,Athletic Club,215,['Left Center Back'],26,83,87,26000000.0,100000.0,21,1994-05-27,189,85,4.0,,2019.0,18,France,Left,
4418,Matheus Dória Macedo,Granada,1049,['Left Center Back'],8,75,81,4800000.0,25000.0,20,1994-11-08,189,82,12.0,Olympique de Marseille,2016.0,54,Brazil,Left,
4498,Jean-Sylvain Claude Babin,Granada,1049,"['Right Center Back', 'Left Center Back']",25,74,74,2700000.0,40000.0,28,1986-10-14,182,84,6.0,,2018.0,18,France,Right,
4546,Dimitri Foulquier,Granada,1049,"['Right Back', 'Right Wing', 'Right Wing Back', 'Right Midfield', 'Left Back']",21,71,77,1900000.0,20000.0,22,1993-03-23,183,78,22.0,,2019.0,18,France,Right,
4558,Pape Cheikh Diop Gueye,Celta Vigo,209,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield']",4,60,74,350000.0,2000.0,17,1997-08-08,180,68,33.0,,2021.0,45,Spain,Right,
4691,Claudio Andrés Bravo Muñoz,Barcelona,217,['Goalkeeper'],32,83,83,17500000.0,130000.0,32,1983-04-13,184,80,13.0,,2018.0,55,Chile,Right,
4741,Juan Rafael Fuentes Hernández,Espanyol,214,['Left Back'],10,71,75,1700000.0,20000.0,25,1990-01-05,178,70,18.0,,2017.0,45,Spain,Left,
4788,Jesús Gámez Duarte,Atlético Madrid,212,"['Left Back', 'Right Back', 'Left Center Forward', 'Right Midfield']",10,78,78,6000000.0,80000.0,30,1985-04-10,182,77,18.0,,2017.0,45,Spain,Right,
4926,Francisco Román Alarcón Suárez,Real Madrid,220,"['Right Wing', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield']",31,84,89,39000000.0,170000.0,23,1992-04-21,176,74,22.0,,2018.0,45,Spain,Right,
5199,Jorge Resurrección Merodio,Atlético Madrid,212,"['Left Midfield', 'Left Center Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield']",35,83,87,31000000.0,140000.0,23,1992-01-08,178,74,6.0,,2019.0,45,Spain,Right,
5200,Lucas Vázquez Iglesias,Real Madrid,220,"['Center Forward', 'Right Wing', 'Right Center Midfield', 'Left Wing', 'Right Midfield', 'Right Back']",25,76,81,7000000.0,80000.0,24,1991-07-01,173,69,18.0,,2020.0,45,Spain,Right,
5201,Sergio Ramos García,Real Madrid,220,"['Left Center Back', 'Right Center Back', 'Center Back']",23,87,87,34000000.0,190000.0,29,1986-03-30,183,75,4.0,,2020.0,45,Spain,Right,
5202,José Ignacio Fernández Iglesias,Real Madrid,220,"['Left Center Back', 'Right Center Midfield', 'Left Back', 'Right Back', 'Right Center Back']",16,75,77,4100000.0,50000.0,25,1990-01-18,179,75,6.0,,2021.0,45,Spain,Right,
5203,Sergio Busquets i Burgos,Barcelona,217,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield']",35,86,88,39000000.0,220000.0,26,1988-07-16,189,76,5.0,,2019.0,45,Spain,Right,
5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,220,"['Left Wing', 'Center Forward', 'Left Center Forward', 'Right Center Forward']",36,93,93,85500000.0,475000.0,30,1985-02-05,185,80,7.0,,2018.0,38,Portugal,Right,
5211,Jordi Alba Ramos,Barcelona,217,['Left Back'],31,84,88,30000000.0,180000.0,26,1989-03-21,170,68,18.0,,2020.0,45,Spain,Left,
5213,Gerard Piqué Bernabéu,Barcelona,217,['Right Center Back'],30,85,86,29500000.0,190000.0,28,1987-02-02,193,85,3.0,,2019.0,45,Spain,Right,
5216,Andrés Iniesta Luján,Barcelona,217,"['Left Center Midfield', 'Right Center Midfield', 'Right Wing']",28,88,88,43000000.0,220000.0,31,1984-05-11,171,68,8.0,,2018.0,45,Spain,Right,
