player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_jersey_number,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur
3034,Kamil Glik,Torino,241,"['Center Back', 'Right Center Back', 'Left Center Back']",33,82,84,19000000.0,100000.0,27,1988-02-03,190,80,25.0,,2017.0,37,Poland,Right,
3112,Anton Ciprian Tătărușanu,Fiorentina,239,['Goalkeeper'],37,75,75,3500000.0,45000.0,29,1986-02-09,195,88,12.0,,2019.0,39,Romania,Right,
3125,Danilo Fernando Avelar,Torino,241,"['Left Wing Back', 'Left Back']",6,75,79,4300000.0,40000.0,26,1989-06-09,185,79,26.0,,2019.0,54,Brazil,Left,
3145,Keita Baldé Diao,Lazio,236,"['Center Forward', 'Left Wing', 'Right Wing', 'Left Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Right Midfield']",31,76,86,8500000.0,60000.0,20,1995-03-08,181,77,14.0,,2018.0,45,Spain,Right,
3167,Antonio Rüdiger,AS Roma,229,"['Left Center Back', 'Right Center Back', 'Right Back', 'Left Back']",30,76,85,7000000.0,70000.0,22,1993-03-03,190,85,2.0,VfB Stuttgart,2016.0,21,Germany,Right,
3371,Mario Barwuah Balotelli,AC Milan,243,"['Right Center Forward', 'Left Wing', 'Left Center Forward', 'Center Forward']",20,80,83,18500000.0,110000.0,24,1990-08-12,189,88,45.0,Liverpool,2016.0,27,Italy,Right,
3412,Assane Dioussé El Hadji,Empoli,290,"['Center Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield']",15,57,75,220000.0,2000.0,17,1997-09-20,175,70,14.0,,2018.0,136,Senegal,Right,
3434,Stevan Jovetić,Inter Milan,238,"['Left Center Forward', 'Left Wing', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Right Wing', 'Left Midfield']",26,81,83,20500000.0,110000.0,25,1989-11-02,183,79,35.0,,2019.0,15,Montenegro,Right,
3477,Álvaro Borja Morata Martín,Juventus,224,"['Right Center Forward', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Center Forward', 'Center Attacking Midfield']",34,81,88,24500000.0,100000.0,22,1992-10-23,187,80,9.0,,2019.0,45,Spain,Right,
3486,Fernando Llorente Torres,Juventus,224,['Right Center Forward'],1,72,72,1600000.0,35000.0,32,1982-08-04,186,82,34.0,,2016.0,54,Brazil,Right,
3531,Mohamed Salah,AS Roma,229,"['Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Midfield', 'Right Attacking Midfield', 'Center Forward']",34,80,87,20500000.0,100000.0,23,1992-06-15,175,69,11.0,Chelsea,2016.0,111,Egypt,Left,
3577,Molla Wagué,Udinese,230,"['Right Center Back', 'Left Center Back', 'Center Back']",21,72,76,2400000.0,20000.0,24,1991-02-21,191,84,2.0,,2019.0,126,Mali,Right,
3579,Roberto Maximiliano Pereyra,Juventus,224,"['Right Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Right Defensive Midfield']",13,81,86,23000000.0,110000.0,24,1991-01-07,184,78,37.0,,2018.0,52,Argentina,Right,
3588,Wesley Hoedt,Lazio,236,"['Left Center Back', 'Right Center Back']",25,75,82,5000000.0,40000.0,21,1994-03-06,192,82,2.0,,2019.0,34,Netherlands,Left,
3660,Davide Zappacosta,Torino,241,"['Right Wing Back', 'Right Back', 'Left Wing Back']",25,74,81,4700000.0,35000.0,23,1992-06-11,182,70,7.0,,2020.0,27,Italy,Right,
3742,Orestis Karnezis,Udinese,230,['Goalkeeper'],38,78,78,7000000.0,45000.0,29,1985-07-11,189,79,31.0,,2019.0,22,Greece,Right,
3949,Manolo Gabbiadini,Napoli,227,"['Right Center Forward', 'Center Forward', 'Right Wing', 'Left Wing']",23,78,84,12000000.0,80000.0,23,1991-11-26,186,81,23.0,,2019.0,27,Italy,Left,
3951,Mario Lemina,Juventus,224,"['Center Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",10,75,81,4800000.0,50000.0,21,1993-09-01,184,76,18.0,Olympique de Marseille,2016.0,115,Gabon,Right,
3964,Marcos Alonso Mendoza,Fiorentina,239,"['Left Wing Back', 'Left Center Back', 'Left Back', 'Left Midfield', 'Right Wing Back']",31,75,78,4300000.0,45000.0,24,1990-12-28,188,81,28.0,,2016.0,45,Spain,Left,
4369,Issa Cissokho,Genoa,233,"['Right Wing Back', 'Right Center Back', 'Right Back', 'Left Center Back', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Back']",13,77,77,4800000.0,60000.0,30,1985-02-23,173,73,90.0,,2018.0,136,Senegal,Right,
