,player_id,player_name,team,team_id,posiciones,partidos_jugados,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_jersey_number,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur,competition,tackle_success_rate,tackles_successful,interception_success_rate,interceptions,clearances,blocks,head_clearances,head_clearances_won,head_clearance_success_rate,headed_shots_total,headed_shots_after_duel,headed_shot_duel_rate,total_passes,completed_passes,incomplete_passes,passes_out,offside_passes,failed_passes,pass_completion_rate,avg_pass_length,ground_passes,low_passes,high_passes,ground_pass_percentage,low_pass_percentage,high_pass_percentage,crosses_total,crosses_completed,cutbacks_total,cutbacks_completed,switches_total,switches_completed,deflected_passes,goal_assists,key_passes,chances_created,through_balls_total,through_balls_completed,head_pass_percentage,right_foot_pass_percentage,left_foot_pass_percentage,right_foot_pass_accuracy,left_foot_pass_accuracy,passes_own_half,passes_opposition_half,passes_from_opposition_half_percentage,progressive_passes,progressive_passes_completed,progressive_passes_accuracy,passes_final_third,passes_final_third_accuracy,passes_to_box,passes_to_box_accuracy,carries,progressive_carries,progressive_carries_rate,avg_carry_distance,duels_total,duels_won,duel_success_rate,yellow_cards,red_cards,times_dribbled_past,ball_recoveries,offensive_recoveries,pressures,counterpress,dribbles_completed,dribble_success_rate,fouls_won,penalties_won,fouls_committed,penalties_conceded,minutes_played,goals_scored,shots_total,non_blocked_shots,shots_on_target,shots_off_target,blocked_shots,shot_accuracy,xg_total,avg_xg,goals_minus_xg,penalty_goals,shots_inside_box,conversion_rate_inside_box,left_foot_goal_percentage,right_foot_goal_percentage,headed_goal_percentage,free_kick_goals,saves,save_percentage,aerial_dominance_index,penalties_saved,penalty_save_percentage,keeper_sweeper,PSxG,clean_sheets,goals_conceded,psxg_minus_goals_conceded,tackles_successful_per90,interceptions_per90,clearances_per90,blocks_per90,head_clearances_per90,head_clearances_won_per90,times_dribbled_past_per90,ball_recoveries_per90,offensive_recoveries_per90,pressures_per90,counterpress_per90,total_passes_per90,completed_passes_per90,incomplete_passes_per90,passes_out_per90,offside_passes_per90,failed_passes_per90,ground_passes_per90,low_passes_per90,high_passes_per90,deflected_passes_per90,crosses_total_per90,crosses_completed_per90,cutbacks_total_per90,cutbacks_completed_per90,switches_total_per90,switches_completed_per90,through_balls_total_per90,through_balls_completed_per90,passes_own_half_per90,passes_opposition_half_per90,progressive_passes_per90,progressive_passes_completed_per90,passes_final_third_per90,passes_to_box_per90,carries_per90,progressive_carries_per90,dribbles_completed_per90,duels_total_per90,duels_won_per90,fouls_won_per90,fouls_committed_per90,penalties_won_per90,penalties_conceded_per90,penalties_saved_per90,saves_per90,keeper_sweeper_per90,shots_total_per90,non_blocked_shots_per90,shots_on_target_per90,shots_off_target_per90,blocked_shots_per90,shots_inside_box_per90,free_kick_goals_per90,goals_scored_per90,penalty_goals_per90,goal_assists_per90,key_passes_per90,chances_created_per90,goals_conceded_per90,xg_total_per90,goals_minus_xg_per90,PSxG_per90,psxg_minus_goals_conceded_per90,yellow_cards_per90,red_cards_per90,posicion_mas_jugada
0,3023,Yuri Berchiche Izeta,Real Sociedad,210,['Left Back'],21,71,76,1800000.00,20000.00,25,1990-02-10,177,77,19.00,,2016.00,45,Spain,Left,nan,Spain - La Liga,56.86,29,62.75,32,54,52,35,18,51.43,0,0,0.00,1182,889,249,40,4,293,75.20,17.10,592.00,340.00,257.00,49.78,28.59,21.61,73.00,15.00,5.00,0.00,31.00,15.00,4.00,4,13,17,2.00,0.00,7.48,9.25,82.92,76.19,72.77,482.00,700.00,59.22,327,213,65.14,506,64.23,96,30.21,308,213,69.16,14.70,51,26,50.98,10,0,22,90,0,294,55,13,46.43,26,0,32,2,1954,0,14,11,2,9,3,18.18,0.38,0.02,-0.38,0,5,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.33,1.47,2.48,2.39,1.61,0.82,1.01,4.14,0.00,13.54,2.53,54.44,40.94,11.46,1.84,0.18,13.49,27.26,15.66,11.83,0.18,3.36,0.69,0.23,0.00,1.42,0.69,0.09,0.00,22.20,32.24,15.06,9.81,23.30,4.42,14.18,9.81,0.59,2.34,1.19,1.19,1.47,0.00,0.09,0.00,0.00,0.00,0.64,0.50,0.09,0.41,0.13,0.23,0.00,0.00,0.00,0.18,0.59,0.78,0.00,0.01,-0.02,0.00,0.00,0.46,0.00,Left Back
1,3063,Danilo Luiz da Silva,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing']",24,80,86,16500000.00,90000.00,23,1991-07-15,184,78,23.00,,2021.00,54,Brazil,Right,nan,Spain - La Liga,64.18,43,61.11,33,50,42,32,17,53.12,1,1,100.00,1484,1260,202,15,7,224,84.91,16.84,1026.00,270.00,195.00,68.81,18.10,13.07,57.00,15.00,1.00,0.00,32.00,18.00,1.00,5,12,17,1.00,0.00,2.71,86.21,10.06,84.99,82.30,615.00,869.00,58.55,289,189,65.40,489,70.95,101,30.69,377,234,62.07,11.60,67,40,59.70,6,0,36,89,0,267,60,16,66.67,24,0,41,0,2136,2,18,14,6,8,4,42.86,0.95,0.05,1.04,0,6,33.33,0.00,100.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.81,1.39,2.10,1.76,1.34,0.71,1.51,3.75,0.00,11.25,2.52,62.52,53.08,8.51,0.63,0.29,9.43,43.23,11.37,8.21,0.04,2.40,0.63,0.04,0.00,1.34,0.75,0.04,0.00,25.91,36.61,12.17,7.96,20.60,4.25,15.88,9.85,0.67,2.82,1.68,1.01,1.72,0.00,0.00,0.00,0.00,0.00,0.75,0.58,0.25,0.33,0.16,0.25,0.00,0.08,0.00,0.21,0.50,0.71,0.00,0.04,0.04,0.00,0.00,0.25,0.00,Right Back
2,3084,Christian Atsu Twasam,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Left Center Back']",11,63,69,375000.00,4000.00,25,1990-04-19,182,77,27.00,,2016.00,52,Argentina,Right,nan,Spain - La Liga,66.67,4,66.67,2,1,9,0,0,0.00,0,0,0.00,143,112,30,1,0,31,78.31,15.01,111.00,13.00,19.00,77.62,9.09,13.28,9.00,2.00,0.00,0.00,1.00,0.00,1.00,0,6,6,0.00,0.00,2.89,15.21,80.43,76.19,79.27,47.00,96.00,67.13,19,11,57.89,60,61.67,23,30.43,83,53,63.86,16.76,6,4,66.67,0,0,3,16,0,65,15,13,56.52,10,0,3,0,276,2,9,9,6,3,0,66.67,1.25,0.13,0.74,0,6,33.33,100.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.30,0.65,0.32,2.93,0.00,0.00,0.97,5.21,0.00,21.19,4.89,46.63,36.52,9.78,0.32,0.00,10.10,36.19,4.23,6.19,0.32,2.93,0.65,0.00,0.00,0.32,0.00,0.00,0.00,15.32,31.30,6.19,3.58,19.56,7.50,27.06,17.28,4.23,1.95,1.30,3.26,0.97,0.00,0.00,0.00,0.00,0.00,2.93,2.93,1.95,0.97,0.00,1.95,0.00,0.65,0.00,0.00,1.95,1.95,0.00,0.41,0.24,0.00,0.00,0.00,0.00,Right Midfield
3,3130,Gaël Kakuta,Sevilla,213,"['Left Midfield', 'Right Wing']",2,76,78,6500000.00,60000.00,24,1991-06-21,173,64,12.00,,2019.00,18,France,Left,nan,Spain - La Liga,100.00,2,0.00,0,0,1,0,0,0.00,0,0,0.00,14,8,5,1,0,6,57.14,20.19,6.00,6.00,3.00,40.00,40.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,7.14,35.71,57.14,60.00,62.50,5.00,9.00,64.28,4,2,50.00,6,50.00,3,33.33,3,2,66.67,10.33,2,2,100.00,1,0,1,2,0,25,8,1,100.00,0,0,3,0,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.93,0.00,0.00,0.96,0.00,0.00,0.96,1.93,0.00,24.19,7.74,13.54,7.74,4.83,0.96,0.00,5.80,5.80,5.80,2.90,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,8.70,3.87,1.93,5.80,2.90,2.90,1.93,0.96,1.93,1.93,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,Left Midfield
4,3160,Rene Krhin,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",23,75,80,4500000.00,35000.00,25,1990-05-21,189,78,21.00,,2019.00,44,Slovenia,Right,nan,Spain - La Liga,64.70,22,71.05,27,55,29,37,17,45.95,3,3,100.00,534,411,111,8,4,123,76.97,17.50,343.00,85.00,109.00,63.87,15.82,20.29,1.00,0.00,0.00,0.00,7.00,5.00,1.00,0,4,4,2.00,1.00,10.42,84.04,5.31,82.72,61.53,358.00,176.00,32.95,125,60,48.00,86,45.35,13,7.69,123,62,50.41,12.28,34,22,64.70,3,0,33,61,0,273,54,11,84.62,21,0,27,0,1496,0,8,7,1,6,1,14.29,0.51,0.06,-0.52,0,5,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.32,1.62,3.30,1.74,2.22,1.02,1.98,3.66,0.00,16.42,3.24,32.12,24.72,6.67,0.48,0.24,7.39,20.63,5.11,6.55,0.06,0.06,0.00,0.00,0.00,0.42,0.30,0.12,0.06,21.53,10.58,7.52,3.60,5.17,0.78,7.39,3.72,0.66,2.04,1.32,1.26,1.62,0.00,0.00,0.00,0.00,0.00,0.48,0.42,0.06,0.36,0.06,0.30,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.03,-0.04,0.00,0.00,0.18,0.00,Right Defensive Midfield
5,3236,Sergi Darder Moll,Málaga,223,['Left Defensive Midfield'],1,61,68,250000.00,2000.00,17,1997-07-09,179,71,29.00,,2016.00,45,Spain,Right,nan,Spain - La Liga,25.00,1,0.00,0,0,0,0,0,0.00,0,0,0.00,40,34,6,0,0,6,85.00,20.76,31.00,1.00,8.00,77.50,2.50,20.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0,1,1,0.00,0.00,2.50,97.50,0.00,84.61,0.00,17.00,23.00,57.50,9,7,77.78,20,70.00,5,40.00,14,9,64.29,13.10,4,1,25.00,1,0,1,3,0,14,4,3,100.00,1,0,1,0,93,0,3,3,1,2,0,33.33,0.07,0.02,-0.08,0,1,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.96,2.90,0.00,13.54,3.87,38.70,32.90,5.80,0.00,0.00,5.80,30.00,0.96,7.74,0.00,0.96,0.96,0.00,0.00,0.96,0.96,0.00,0.00,16.45,22.25,8.70,6.77,19.35,4.83,13.54,8.70,2.90,3.87,0.96,0.96,0.96,0.00,0.00,0.00,0.00,0.00,2.90,2.90,0.96,1.93,0.00,0.96,0.00,0.00,0.00,0.00,0.96,0.96,0.00,0.06,-0.07,0.00,0.00,0.96,0.00,Left Defensive Midfield
6,3240,Mathew Ryan,Valencia,207,['Goalkeeper'],8,78,83,9500000.00,80000.00,23,1992-04-08,182,85,25.00,,2021.00,195,Australia,Right,nan,Spain - La Liga,0.00,0,0.00,0,0,0,0,0,0.00,0,0,0.00,271,179,88,3,1,92,66.05,40.13,86.00,10.00,183.00,30.82,3.58,65.59,0.00,0.00,0.00,0.00,6.00,3.00,0.00,0,0,0,0.00,0.00,0.00,64.87,12.90,59.66,72.22,271.00,0.00,0.00,186,90,48.39,36,22.22,2,0.00,70,38,54.29,10.27,0,0,0.00,0,0,2,38,0,1,1,0,0.00,1,0,0,0,749,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,22,70.97,13.50,0,0.00,16,4.91,1,9,-4.09,0.00,0.00,0.00,0.00,0.00,0.00,0.24,4.56,0.00,0.12,0.12,32.56,21.50,10.57,0.36,0.12,11.05,10.33,1.20,21.98,0.00,0.00,0.00,0.00,0.00,0.72,0.36,0.00,0.00,32.56,0.00,22.34,10.81,4.32,0.24,8.41,4.56,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,2.64,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.58,-0.50,0.00,0.00,Goalkeeper
7,3253,Adil Rami,Sevilla,213,"['Right Center Back', 'Left Center Back', 'Center Attacking Midfield']",28,79,79,7500000.00,80000.00,29,1985-12-27,190,88,3.00,,2019.00,18,France,Right,nan,Spain - La Liga,57.89,11,81.48,22,109,36,73,21,28.77,11,6,54.55,1086,861,187,34,4,225,79.28,23.82,678.00,115.00,306.00,61.69,10.46,27.84,6.00,0.00,0.00,0.00,56.00,42.00,0.00,1,4,5,1.00,0.00,8.15,80.32,10.55,81.72,80.90,935.00,151.00,13.90,295,135,45.76,203,44.83,46,17.39,320,177,55.31,12.44,19,11,57.89,8,1,7,108,0,136,24,3,60.00,19,1,27,0,2604,0,16,14,3,11,2,21.43,1.58,0.09,-1.59,0,15,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,0.38,0.76,3.76,1.24,2.52,0.72,0.24,3.73,0.00,4.70,0.82,37.53,29.75,6.46,1.17,0.13,7.77,23.43,3.97,10.57,0.00,0.20,0.00,0.00,0.00,1.93,1.45,0.03,0.00,32.31,5.21,10.19,4.66,7.01,1.58,11.05,6.11,0.10,0.65,0.38,0.65,0.93,0.03,0.00,0.00,0.00,0.00,0.55,0.48,0.10,0.38,0.06,0.51,0.00,0.00,0.00,0.03,0.13,0.17,0.00,0.05,-0.06,0.00,0.00,0.27,0.03,Right Center Back
8,3292,Abdoulaye Doucouré,Granada,1049,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']",15,68,81,1700000.00,8000.00,20,1995-02-11,163,55,30.00,,2018.00,117,Ghana,Right,nan,Spain - La Liga,56.00,14,73.91,17,15,27,4,3,75.00,1,0,0.00,568,482,74,10,2,86,84.86,18.28,418.00,84.00,75.00,72.44,14.55,12.99,3.00,2.00,0.00,0.00,26.00,18.00,2.00,2,9,11,2.00,0.00,7.38,78.01,14.23,86.14,89.87,325.00,243.00,42.78,98,57,58.16,111,64.86,16,37.50,174,84,48.28,10.59,25,14,56.00,5,0,16,88,0,286,51,10,55.56,8,0,20,0,1215,0,10,5,0,4,5,0.00,0.75,0.07,-0.76,0,4,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.03,1.25,1.11,2.00,0.29,0.22,1.18,6.51,0.00,21.18,3.77,42.07,35.70,5.48,0.74,0.14,6.37,30.96,6.22,5.55,0.14,0.22,0.14,0.00,0.00,1.92,1.33,0.14,0.00,24.07,18.00,7.25,4.22,8.22,1.18,12.88,6.22,0.74,1.85,1.03,0.59,1.48,0.00,0.00,0.00,0.00,0.00,0.74,0.37,0.00,0.29,0.37,0.29,0.00,0.00,0.00,0.14,0.66,0.81,0.00,0.05,-0.06,0.00,0.00,0.37,0.00,Left Defensive Midfield
9,3324,Eric Bertrand Bailly,Villarreal,222,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']",25,73,83,4100000.00,30000.00,21,1994-04-12,187,77,24.00,,2020.00,108,Côte d'Ivoire,Right,nan,Spain - La Liga,52.94,27,52.17,24,128,39,67,31,46.27,2,2,100.00,830,650,164,14,2,180,78.31,21.58,540.00,102.00,196.00,64.43,12.17,23.38,0.00,0.00,0.00,0.00,21.00,16.00,1.00,0,3,3,1.00,0.00,6.19,75.48,18.19,81.53,73.75,695.00,135.00,16.26,226,124,54.87,105,52.38,10,30.00,254,137,53.94,11.73,51,27,52.94,10,1,4,89,0,188,19,11,78.56,28,0,36,0,2328,0,4,4,1,3,0,25.00,0.40,0.10,-0.41,0,4,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0,0.00,0,0,0.00,1.04,0.92,4.94,1.50,2.59,1.19,0.15,3.44,0.00,7.26,0.73,32.08,25.12,6.34,0.54,0.07,6.95,20.87,3.94,7.57,0.03,0.00,0.00,0.00,0.00,0.81,0.61,0.03,0.00,26.86,5.21,8.73,4.79,4.05,0.38,9.81,5.29,0.42,1.97,1.04,1.08,1.39,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.03,0.11,0.00,0.15,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.01,-0.02,0.00,0.00,0.38,0.03,Right Center Back
