player_id,player,ultimo_equipo,ultimo_team_id,competicion
2968,Elias Kachunga,Ingolstadt,189,Germany - 1. Bundesliga
3016,Allan Saint-Maximin,Hannover 96,178,Germany - 1. Bundesliga
3053,Leroy Sané,Schalke 04,181,Germany - 1. Bundesliga
3058,Javier Hernández Balcázar,Bayer Leverkusen,904,Germany - 1. Bundesliga
3097,Pascal Groß,Ingolstadt,189,Germany - 1. Bundesliga
3164,Marcelo Antônio Guedes Filho,Hannover 96,178,Germany - 1. Bundesliga
3221,Markus Suttner,Ingolstadt,189,Germany - 1. Bundesliga
3275,Henrikh Mkhitaryan,Borussia Dortmund,180,Germany - 1. Bundesliga
3499,Jean-Eric Maxim Choupo-Moting,Schalke 04,181,Germany - 1. Bundesliga
3500,Granit Xhaka,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
3502,Joël Andre Job Matip,Schalke 04,181,Germany - 1. Bundesliga
3510,Sead Kolašinac,Schalke 04,181,Germany - 1. Bundesliga
3545,Luiz Gustavo Dias,Wolfsburg,179,Germany - 1. Bundesliga
3570,Pierre-Emile Højbjerg,Schalke 04,181,Germany - 1. Bundesliga
3630,Loris Karius,FSV Mainz 05,177,Germany - 1. Bundesliga
3712,Pierre-Emerick Aubameyang,Borussia Dortmund,180,Germany - 1. Bundesliga
3959,Andreas Christensen,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
4174,Ragnar Klavan,Augsburg,172,Germany - 1. Bundesliga
4279,Konstantinos Stafylidis,Augsburg,172,Germany - 1. Bundesliga
4430,Neven Subotić,Borussia Dortmund,180,Germany - 1. Bundesliga
4600,Diego Orlando Benaglio,Wolfsburg,179,Germany - 1. Bundesliga
4683,Adam Hloušek,VfB Stuttgart,174,Germany - 1. Bundesliga
5208,Thiago Alcântara do Nascimento,Bayern Munich,169,Germany - 1. Bundesliga
5244,Medhi Amine El Mouttaqi Benatia,Bayern Munich,169,Germany - 1. Bundesliga
5467,Leon Aderemi Balogun,FSV Mainz 05,177,Germany - 1. Bundesliga
5481,Mathew Leckie,Ingolstadt,189,Germany - 1. Bundesliga
