team,presupuesto_fichajes,presupuesto_sueldos
1. FC Köln,8000000,788000
Hoffenheim,15000000,1022000
Bayer 04,35000000,1458000
Bor. Dortmund,30000000,2150000
Bor. M’gladbach,20000000,1177000
Eint. Frankfurt,6000000,1020000
FC Augsburg,6000000,852000
FC Bayern,80000000,4115000
FC Ingolstadt,4000000,493000
FC Schalke 04,21500000,1897000
FSV mayence 05,7000000,943000
Hamburger SV,6000000,934000
Hannover 96,10000000,877000
Hertha BSC,8000000,1029000
SV Darmstadt,2200000,437000
VfB Stuttgart,11000000,931000
VfL Wolfsburg,50000000,2138000
Werder Bremen,4500000,811000
