team,presupuesto_fichajes,presupuesto_sueldos
Angers SCO,2400000,333500
AS Monaco,55000000,1458000
ASSE,9500000,1021750
EA Guingamp,3200000,597000
ESTAC Troyes,2200000,390500
FC Lorient,3700000,586000
FC Nantes,5000000,613750
GFC Ajaccio,2000000,261250
Gir. Bordeaux,7000000,882250
LOSC Lille,10500000,806000
Montpellier HSC,7500000,773500
OGC Nice,4500000,607500
Olympique Lyon,17000000,1733750
Olympique Marseille,18000000,1311000
PSG,100000000,3083000
SC Bastia,2800000,377500
SM Caen,3500000,471250
Stade Reims,3000000,579500
Stade Rennais,9000000,963250
Toulouse FC,5500000,789250
