team,presupuesto_fichajes,presupuesto_sueldos
Arsenal,70000000,3076750
Aston Villa,29000000,1109750
Burnemouth,16000000,683250
Chelsea,85000000,3346750
Crystal Palace,23500000,1251250
Everton,25000000,1697000
Leicester City,27000000,869250
Liverpool,55000000,2595500
Manchester City,100000000,3119500
Manchester Utd,80000000,2994250
Newcastle Utd,35000000,1528750
Norwich City,22000000,907000
Southampton,32000000,1208500
Stoke City,30000000,1231750
Sunderland,28000000,1154750
Swansea City,25000000,1289250
Tottenham Hotspur,45000000,1944750
Watford,19000000,1032750
West Brom,22000000,1079750
West Ham,30000000,1125750
