team,presupuesto_fichajes,presupuesto_sueldos
Athletic Bilbao,12000000,1727000
Atlético Madrid,60000000,2485000
Celta Vigo,7000000,936000
Deportivo,5000000,965000
Espanol Barcelona,6500000,858000
FC Barcelona,100000000,4191000
Getafe CF,6000000,842000
Granada CF,6000000,790000
Levante UD,6500000,857000
Málaga CF,7000000,979000
Rayo Vallecano,4000000,871000
Real Betis,6500000,960000
Real Madrid,100000000,3823000
Real Sociedad,9000000,1770000
SD Eibar,2000000,312000
Sporting Gijón,2700000,618000
Sevilla FC,34500000,2120000
UD Las Palmas,3500000,610000
Valencia CF,70000000,1849000
Villarreal CF,10000000,1201000
