,main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90
30,Left Center Midfield,4926,Francisco Román Alarcón Suárez,Real Madrid,220,1948,47.91666666666667,87.5,100.0,87.5,38.54166666666667,21.875,76.04166666666666,96.875,70.83333333333334,97.91666666666666,36.45833333333333
40,Left Center Midfield,5216,Andrés Iniesta Luján,Barcelona,217,2305,96.875,74.47916666666666,93.75,93.75,58.333333333333336,12.5,30.208333333333332,51.041666666666664,81.25,88.54166666666666,43.22916666666667
46,Right Center Midfield,5463,Luka Modrić,Real Madrid,220,2873,91.66666666666666,88.54166666666666,81.25,97.91666666666666,33.85416666666667,7.291666666666667,45.3125,72.39583333333334,92.70833333333334,76.04166666666666,68.75
47,Right Center Midfield,5470,Ivan Rakitić,Barcelona,217,2771,63.541666666666664,52.083333333333336,27.083333333333332,90.625,33.85416666666667,20.833333333333336,92.1875,45.3125,16.666666666666664,33.33333333333333,28.125
65,Right Center Midfield,5678,Jefferson Andrés Lerma Solís,Levante UD,221,2883,34.375,36.45833333333333,25.0,21.875,39.58333333333333,13.541666666666666,30.208333333333332,45.3125,19.791666666666664,56.25,35.41666666666667
66,Left Center Midfield,5695,James David Rodríguez Rubio,Real Madrid,220,1573,84.375,100.0,82.8125,66.66666666666666,48.95833333333333,34.375,98.95833333333334,100.0,28.125,50.0,30.208333333333332
113,Right Center Midfield,6595,Daniel Parejo Muñoz,Valencia,207,2791,86.45833333333334,74.47916666666666,69.27083333333334,68.22916666666666,75.0,92.70833333333334,96.875,84.89583333333334,45.83333333333333,89.58333333333334,68.75
140,Left Center Midfield,6659,Víctor Camarasa Ferrando,Levante UD,221,1957,33.33333333333333,44.27083333333333,67.70833333333334,77.08333333333334,61.458333333333336,65.625,60.9375,76.5625,26.041666666666668,85.41666666666666,82.29166666666666
217,Right Center Midfield,6797,Daniel Wass,Celta Vigo,209,2891,78.125,69.27083333333334,32.8125,50.0,43.75,3.125,45.3125,81.77083333333334,71.875,79.16666666666666,11.458333333333332
218,Left Center Midfield,6801,Pedro Pablo Hernández,Celta Vigo,209,2611,72.91666666666666,8.333333333333332,66.66666666666666,57.291666666666664,89.0625,42.70833333333333,45.3125,63.020833333333336,83.33333333333334,95.83333333333334,45.83333333333333
299,Right Center Midfield,10037,Danilo Barbosa da Silva,Valencia,207,1492,9.375,6.25,88.02083333333334,31.25,72.39583333333334,59.375,11.458333333333332,12.5,55.208333333333336,40.625,21.875
307,Left Center Midfield,10802,André Filipe Tavares Gomes,Valencia,207,2511,62.5,41.14583333333333,97.91666666666666,63.541666666666664,18.75,60.416666666666664,66.66666666666666,63.020833333333336,66.66666666666666,28.125,74.47916666666666
457,Left Center Midfield,27148,Abraham González Casanova,Espanyol,214,1217,32.29166666666667,66.14583333333334,1.5625,47.39583333333333,41.14583333333333,17.708333333333336,49.47916666666667,51.041666666666664,2.604166666666667,46.875,8.333333333333332
506,Left Center Midfield,3057,Jonjo Shelvey,Newcastle United,37,2355,93.75,82.8125,80.20833333333334,42.70833333333333,28.645833333333332,6.25,30.208333333333332,81.77083333333334,89.58333333333334,66.14583333333334,65.625
546,Right Center Midfield,3296,Marouane Fellaini-Bakkioui,Manchester United,39,1128,21.875,34.375,54.6875,70.83333333333334,42.70833333333333,37.5,49.47916666666667,12.5,45.83333333333333,61.979166666666664,92.70833333333334
549,Left Center Midfield,3304,Harry Arter,AFC Bournemouth,28,1979,69.79166666666666,59.375,54.6875,86.45833333333334,77.08333333333334,68.75,37.5,12.5,38.02083333333333,63.541666666666664,51.5625
563,Right Center Midfield,3328,James Ward-Prowse,Southampton,25,1318,83.33333333333334,93.75,32.8125,39.58333333333333,4.166666666666666,62.5,76.04166666666666,94.27083333333334,90.625,13.020833333333334,91.66666666666666
570,Right Center Midfield,3343,Dan Gosling,AFC Bournemouth,28,2637,26.041666666666668,45.83333333333333,69.27083333333334,78.125,67.1875,71.875,66.66666666666666,30.729166666666668,48.95833333333333,37.5,16.666666666666664
585,Left Center Midfield,3436,Idrissa Gana Gueye,Aston Villa,59,3298,48.95833333333333,30.729166666666668,91.66666666666666,81.25,100.0,94.79166666666666,11.458333333333332,26.041666666666668,82.29166666666666,70.3125,97.91666666666666
596,Right Center Midfield,3462,Jack Frank Porteous Cork,Swansea City,26,2632,59.375,42.70833333333333,79.16666666666666,75.0,82.8125,64.58333333333334,30.208333333333332,30.729166666666668,80.20833333333334,64.58333333333334,85.41666666666666
605,Right Center Midfield,3473,James Philip Milner,Liverpool,24,2637,82.29166666666666,92.70833333333334,36.45833333333333,17.708333333333336,36.97916666666667,69.79166666666666,86.45833333333334,98.95833333333334,22.916666666666664,18.75,49.47916666666667
614,Left Center Midfield,3490,James Morrison,West Bromwich Albion,27,1609,15.625,48.95833333333333,64.58333333333334,64.58333333333334,28.645833333333332,10.416666666666668,83.85416666666666,67.70833333333334,40.10416666666667,34.89583333333333,56.25
616,Left Center Midfield,3493,Emre Can,Liverpool,24,2636,74.47916666666666,37.5,78.125,68.22916666666666,93.22916666666666,50.0,30.208333333333332,12.5,86.45833333333334,94.79166666666666,61.979166666666664
635,Right Center Midfield,3532,Jordan Brian Henderson,Liverpool,24,1411,90.625,63.541666666666664,42.70833333333333,43.75,64.58333333333334,48.95833333333333,71.35416666666666,72.39583333333334,35.41666666666667,21.875,61.979166666666664
