,main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90
0,Left Back,3023,Yuri Berchiche Izeta,Real Sociedad,210,1954,59.92217898832685,62.06225680933852,94.94163424124513,74.31906614785993,51.36186770428015,63.22957198443579,45.3307392996109,73.54085603112841,69.06614785992218,59.53307392996109,67.31517509727627,29.18287937743191,95.3307392996109
1,Right Back,3063,Danilo Luiz da Silva,Real Madrid,220,2136,87.15953307392996,88.32684824902724,92.99610894941634,68.28793774319067,27.82101167315175,53.89105058365759,96.49805447470817,73.92996108949417,64.2023346303502,88.52140077821011,83.26848249027238,88.13229571984435,98.0544747081712
20,Right Back,4324,Daniel Alves da Silva,Barcelona,217,2218,89.88326848249028,83.0739299610895,32.1011673151751,35.797665369649806,72.568093385214,73.54085603112841,97.27626459143968,94.94163424124513,95.52529182879378,73.92996108949417,84.43579766536965,29.18287937743191,92.80155642023347
25,Right Back,4546,Dimitri Foulquier,Granada,1049,1491,75.68093385214007,65.36964980544747,60.11673151750973,2.3346303501945527,66.34241245136187,50.583657587548636,60.311284046692606,49.221789883268485,38.32684824902724,65.75875486381322,80.93385214007782,80.93385214007782,55.252918287937746
38,Left Back,5211,Jordi Alba Ramos,Barcelona,217,2679,92.80155642023347,36.57587548638132,42.217898832684824,26.07003891050584,15.17509727626459,56.03112840466926,97.66536964980544,73.15175097276264,64.2023346303502,39.688715953307394,10.505836575875486,29.18287937743191,97.08171206225681
55,Left Back,5552,Marcelo Vieira da Silva Júnior,Real Madrid,220,2597,94.55252918287937,85.21400778210116,90.27237354085604,45.91439688715953,12.062256809338521,96.49805447470817,89.49416342412452,98.24902723735408,85.40856031128405,87.54863813229572,9.53307392996109,80.93385214007782,75.29182879377431
60,Left Back,5588,Antonio Rukavina,Villarreal,222,1302,14.007782101167315,29.571984435797667,63.81322957198443,23.73540856031128,6.614785992217899,5.642023346303502,66.9260700389105,3.8910505836575875,0.5836575875486382,25.680933852140075,55.6420233463035,29.18287937743191,16.731517509727624
69,Right Back,5721,Daniel Carvajal Ramos,Real Madrid,220,1756,31.1284046692607,23.346303501945524,96.10894941634241,93.77431906614785,60.505836575875485,96.10894941634241,98.0544747081712,88.32684824902724,99.61089494163424,20.428015564202333,86.57587548638132,29.18287937743191,97.08171206225681
74,Left Back,6320,Filipe Luís Kasmirski,Atlético Madrid,212,2977,93.3852140077821,99.61089494163424,100.0,89.49416342412452,69.26070038910505,70.03891050583657,79.1828793774319,97.66536964980544,48.054474708171206,99.61089494163424,38.52140077821012,65.75875486381322,84.43579766536965
79,Right Back,6375,Juan Francisco Torres Belén,Atlético Madrid,212,3162,35.21400778210117,26.848249027237355,79.1828793774319,57.58754863813229,5.252918287937743,57.97665369649806,55.6420233463035,37.7431906614786,92.60700389105058,25.680933852140075,52.723735408560316,60.311284046692606,34.43579766536965
83,Right Back,6379,Sergi Roberto Carnicer,Barcelona,217,1935,28.793774319066145,44.94163424124514,32.1011673151751,50.38910505836576,74.70817120622569,64.78599221789884,98.44357976653697,85.60311284046692,35.992217898832685,43.57976653696498,21.595330739299612,29.18287937743191,99.22178988326849
88,Right Back,6386,Eneko Bóveda Altube,Athletic Club,215,1396,25.680933852140075,57.003891050583654,98.83268482490273,54.86381322957199,80.54474708171206,48.63813229571984,55.05836575875487,86.7704280155642,83.85214007782102,46.69260700389105,63.42412451361867,29.18287937743191,16.731517509727624
93,Left Back,6392,Íñigo Lekue Martínez,Athletic Club,215,1115,88.715953307393,97.47081712062257,84.8249027237354,64.59143968871595,85.21400778210116,71.98443579766537,39.688715953307394,77.23735408560312,97.27626459143968,96.88715953307393,30.544747081712064,88.13229571984435,16.731517509727624
106,Right Back,6569,Roberto José Rosales Altuve,Málaga,223,3260,44.55252918287938,79.76653696498055,84.8249027237354,81.32295719844358,35.797665369649806,35.21400778210117,31.517509727626457,38.91050583657588,42.4124513618677,81.71206225680933,32.68482490272373,29.18287937743191,65.75875486381322
114,Left Back,6596,José Luis Gayà Peña,Valencia,207,1397,28.404669260700388,89.49416342412452,46.69260700389105,56.6147859922179,58.754863813229576,75.09727626459144,75.87548638132296,65.1750972762646,65.1750972762646,92.60700389105058,18.09338521400778,29.18287937743191,16.731517509727624
118,Right Back,6605,Joseba Zaldúa Bengoetxea,Real Sociedad,210,926,13.229571984435799,54.6692607003891,29.18287937743191,1.9455252918287937,72.568093385214,32.295719844357976,13.618677042801556,22.957198443579767,86.38132295719845,56.42023346303502,98.83268482490273,29.18287937743191,16.731517509727624
123,Left Back,6612,Rubén Duarte Sánchez,Espanyol,214,1955,64.98054474708171,79.76653696498055,83.46303501945526,13.618677042801556,56.03112840466926,29.377431906614788,26.653696498054476,18.28793774319066,53.69649805447471,80.1556420233463,81.90661478599222,29.18287937743191,43.57976653696498
131,Right Back,6627,Damián Nicolás Suárez Suárez,Getafe,216,2796,63.81322957198443,69.06614785992218,75.29182879377431,68.28793774319067,74.31906614785993,75.09727626459144,59.92217898832685,25.680933852140075,35.992217898832685,72.17898832684824,75.87548638132296,29.18287937743191,71.40077821011673
135,Right Back,6649,Óscar de Marcos Arana,Athletic Club,215,3067,38.52140077821012,75.09727626459144,95.3307392996109,75.87548638132296,84.8249027237354,38.52140077821012,34.63035019455253,45.13618677042802,77.431906614786,76.65369649805449,43.57976653696498,60.311284046692606,65.75875486381322
142,Right Back,6663,Antonio Barragán Fernández,Valencia,207,1772,81.71206225680933,67.31517509727627,87.54863813229572,52.52918287937744,44.3579766536965,21.40077821011673,68.09338521400778,40.46692607003891,34.43579766536965,71.20622568093385,95.3307392996109,29.18287937743191,16.731517509727624
148,Right Back,6672,Jorge Andújar Moreno,Sevilla,213,1864,40.66147859922179,40.27237354085603,69.26070038910505,66.9260700389105,46.69260700389105,18.482490272373543,30.739299610894943,57.58754863813229,13.424124513618677,40.66147859922179,80.1556420233463,71.78988326848248,43.57976653696498
