player_id,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate
3379,30.49,83.48,87.66,51.94,71.47,73.02,37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,31.92,95.35,97.32,10.0,14.13,7.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5577,48.01,74.41,97.32,30.53,14.13,4.45,38.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5597,41.17,84.44,92.47,60.48,85.87,50.13,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,18.75,100.0,97.32,21.23,14.13,35.72,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,26.61,63.21,80.43,88.54,42.07,70.28,52.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610,78.8,50.53,32.44,70.57,38.5,77.95,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625,66.04,27.03,34.88,59.13,42.07,83.8,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654,75.98,58.74,55.89,38.31,14.13,65.58,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6694,51.14,57.76,65.6,55.67,48.37,58.26,57.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6730,38.32,8.87,15.52,42.09,57.43,17.66,34.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792,48.01,16.74,21.96,59.13,14.13,42.75,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6823,62.54,66.09,55.89,28.92,14.13,56.63,68.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6884,47.03,29.42,37.04,57.79,48.37,51.7,43.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6898,83.88,87.54,84.45,18.03,99.46,14.44,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8697,36.55,10.81,20.61,50.6,14.13,59.64,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10763,23.31,7.51,34.88,81.98,48.37,72.41,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23843,69.31,28.68,27.08,59.13,14.13,44.8,76.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24255,72.58,25.42,11.49,90.39,48.37,39.95,78.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25144,74.99,44.8,45.1,7.1,14.13,8.96,63.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26070,27.5,36.0,94.09,88.54,57.43,16.9,82.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26103,33.79,85.05,82.84,62.63,71.47,49.44,64.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26753,61.11,56.32,74.76,74.57,14.13,73.98,56.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27305,32.64,33.77,43.48,61.56,48.37,45.89,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,35.56,13.6,16.87,27.32,14.13,27.71,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,22.08,67.36,72.87,38.31,14.13,37.7,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3262,64.99,63.78,49.15,24.42,14.13,67.82,58.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291,14.9,40.05,74.76,15.89,14.13,56.63,46.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,24.53,64.54,71.25,5.52,14.13,18.34,54.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,89.33,54.5,25.73,21.23,14.13,2.68,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,49.27,88.77,78.81,40.2,14.13,41.25,60.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,40.19,47.09,58.32,8.68,14.13,11.15,19.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,43.66,53.19,55.89,19.89,71.47,29.0,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,67.2,66.71,58.32,33.75,65.18,90.41,26.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537,61.82,65.14,61.01,15.89,14.13,22.38,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,13.13,18.25,34.88,21.23,57.43,32.43,63.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,58.52,68.1,76.92,43.95,53.42,39.2,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3815,31.21,69.75,80.43,18.03,14.13,48.21,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,51.85,81.37,76.92,0.54,14.13,0.54,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,56.48,73.26,64.25,11.87,14.13,3.36,18.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108,42.16,44.09,45.1,10.8,14.13,19.69,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6871,93.96,43.11,30.56,35.89,14.13,12.45,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9014,42.16,3.08,9.61,32.68,14.13,8.07,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9539,86.16,80.78,62.63,33.75,14.13,21.27,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12608,55.6,11.37,2.15,16.96,14.13,22.99,41.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13042,73.73,56.32,45.1,14.81,14.13,12.45,71.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16309,79.69,55.28,53.19,22.58,14.13,4.45,23.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18672,21.03,0.54,16.87,11.87,71.47,7.11,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20074,19.63,3.72,11.49,13.74,48.37,25.46,59.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201,10.71,20.14,46.99,4.2,14.13,5.53,51.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23635,28.93,12.05,27.08,26.0,14.13,19.02,34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,8.29,19.1,51.04,61.56,14.13,53.34,89.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3742,45.6,26.14,23.31,28.92,34.78,48.83,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5669,49.27,79.68,85.52,72.7,14.13,65.58,80.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,14.01,98.37,94.09,31.6,57.43,26.41,95.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,58.52,85.89,90.86,64.23,38.5,61.47,86.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,85.1,60.48,62.63,49.26,66.79,60.52,47.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,0.54,22.72,68.83,64.23,14.13,38.52,96.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7036,35.56,71.06,71.25,70.57,14.13,69.19,74.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7055,73.73,42.2,24.65,56.73,14.13,87.86,39.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7132,40.19,70.36,68.83,54.86,71.47,66.8,77.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7148,69.31,77.06,53.19,68.46,99.46,45.89,44.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7157,53.28,59.61,68.83,42.09,65.18,42.75,40.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7174,46.31,49.18,74.76,76.69,34.78,79.6,50.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7803,71.86,75.57,66.67,36.96,71.47,47.61,32.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8274,37.26,13.0,39.99,76.69,14.13,60.52,38.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8662,52.57,41.56,39.99,40.2,48.37,50.81,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9887,76.69,48.52,20.61,35.08,14.13,15.95,53.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11508,39.2,33.08,34.88,80.39,14.13,75.28,84.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12491,33.79,35.42,49.15,48.18,62.66,30.37,77.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32037,82.65,37.53,14.17,49.26,42.07,55.19,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34881,28.21,24.77,28.95,40.2,14.13,64.69,83.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38312,54.0,46.17,39.99,71.9,14.13,28.39,68.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3630,74.99,72.43,76.92,81.98,62.66,70.96,44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,44.37,8.15,0.54,54.06,14.13,26.41,93.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,57.2,34.51,49.15,47.38,14.13,33.25,75.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570,7.57,93.64,100.0,45.54,14.13,34.55,98.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8225,17.18,38.42,78.81,28.92,14.13,36.67,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8240,54.88,92.27,94.09,36.96,99.46,10.05,81.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8306,59.78,39.06,39.99,73.76,48.37,81.32,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8314,86.87,61.2,61.01,50.6,38.5,58.26,65.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8393,100.0,78.13,53.19,53.26,14.13,62.15,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8517,67.2,51.2,34.88,43.95,57.43,68.44,70.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8560,70.81,61.86,49.15,64.23,14.13,43.84,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577,59.78,53.91,58.32,40.2,14.13,40.57,57.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8667,80.57,47.86,46.99,100.0,48.37,100.0,55.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8821,78.09,74.41,58.32,13.74,48.37,29.62,49.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8947,96.38,49.79,32.44,76.69,14.13,76.24,72.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9082,88.44,36.73,23.31,31.6,48.37,23.88,48.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12319,16.12,32.26,64.25,84.61,14.13,63.18,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15581,50.43,62.57,72.87,78.55,38.5,66.8,66.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23269,64.27,21.25,14.17,67.14,14.13,52.38,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,,,,,,,45.4,56.26,52.31,86.96,68.83,44.97,45.57,60.3,55.19,50.66,55.94,14.59,85.17,,,,,,,,,,,,,,,,,
3063,,,,,,,86.99,76.69,75.36,83.71,64.6,27.13,39.54,60.61,50.96,76.04,68.16,56.19,92.78,,,,,,,,,,,,,,,,,
4324,,,,,,,88.8,79.39,70.46,30.82,41.4,60.65,52.86,80.12,79.2,62.96,69.09,14.59,79.73,,,,,,,,,,,,,,,,,
4546,,,,,,,55.58,67.55,55.0,51.65,9.92,56.23,36.92,41.35,31.74,55.32,66.49,49.56,40.13,,,,,,,,,,,,,,,,,
5211,,,,,,,90.44,82.49,33.58,37.87,34.35,18.04,41.0,60.07,50.96,36.51,14.95,14.59,90.21,,,,,,,,,,,,,,,,,
5552,,,,,,,79.0,84.38,72.15,80.08,48.93,15.4,79.26,86.76,68.45,75.11,14.29,49.56,58.48,,,,,,,,,,,,,,,,,
5588,,,,,,,60.68,22.43,28.42,54.92,32.72,11.06,5.53,7.14,0.29,25.51,47.38,14.59,8.37,,,,,,,,,,,,,,,,,
5721,,,,,,,91.46,36.9,23.45,90.67,86.75,51.83,78.67,71.19,95.61,21.55,71.01,14.59,90.21,,,,,,,,,,,,,,,,,
6320,,,,,,,69.71,82.87,95.26,100.0,81.27,58.17,50.72,85.98,39.3,97.14,35.42,37.42,67.22,,,,,,,,,,,,,,,,,
6375,,,,,,,52.42,39.74,26.44,69.42,56.92,9.77,42.17,34.12,76.84,25.51,45.41,33.19,21.38,,,,,,,,,,,,,,,,,
6379,,,,,,,92.22,35.27,40.24,30.82,52.25,62.43,46.54,68.89,30.27,39.79,23.89,14.59,97.53,,,,,,,,,,,,,,,,,
6386,,,,,,,52.09,32.76,48.75,96.58,55.17,66.92,35.56,69.89,66.78,42.01,52.97,14.59,8.37,,,,,,,,,,,,,,,,,
6392,,,,,,,41.39,78.34,89.23,74.51,61.93,71.16,51.88,62.93,82.47,89.33,30.24,56.19,8.37,,,,,,,,,,,,,,,,,
6569,,,,,,,35.06,45.97,67.78,74.51,73.77,33.48,26.52,35.05,34.98,69.52,31.82,14.59,49.55,,,,,,,,,,,,,,,,,
6596,,,,,,,67.36,34.94,76.98,40.96,56.37,50.69,53.83,53.61,51.75,80.75,21.63,14.59,8.37,,,,,,,,,,,,,,,,,
6605,,,,,,,19.55,21.73,47.17,28.8,9.55,60.65,24.29,23.67,69.24,48.43,87.85,14.59,8.37,,,,,,,,,,,,,,,,,
6612,,,,,,,31.76,59.91,67.78,73.27,23.56,48.74,22.44,20.16,43.32,68.08,67.14,14.59,30.12,,,,,,,,,,,,,,,,,
6627,,,,,,,55.28,58.98,58.09,65.49,64.6,62.11,53.83,25.58,30.27,61.2,62.43,14.59,54.45,,,,,,,,,,,,,,,,,
6649,,,,,,,37.51,41.97,63.38,87.72,69.76,70.86,28.76,38.87,61.47,65.22,38.97,33.19,49.55,,,,,,,,,,,,,,,,,
6663,,,,,,,61.59,72.14,56.8,77.3,53.54,40.31,17.29,36.04,29.19,60.49,80.32,14.59,8.37,,,,,,,,,,,,,,,,,
6672,,,,,,,34.61,43.5,36.87,59.63,63.54,41.79,15.44,47.48,13.9,37.22,65.93,41.96,30.12,,,,,,,,,,,,,,,,,
6674,,,,,,,43.7,14.89,24.75,55.69,24.48,19.49,28.76,30.06,43.32,26.51,55.21,14.59,8.37,,,,,,,,,,,,,,,,,
6675,,,,,,,28.17,48.67,58.97,82.66,52.94,30.28,17.29,21.9,37.23,64.7,11.18,14.59,49.55,,,,,,,,,,,,,,,,,
6679,,,,,,,47.24,47.66,42.22,81.8,61.93,35.14,15.44,37.69,39.3,45.24,37.22,37.42,8.37,,,,,,,,,,,,,,,,,
6699,,,,,,,3.5,55.44,70.46,92.19,44.1,42.12,29.44,66.83,47.92,61.71,65.93,45.81,62.8,,,,,,,,,,,,,,,,,
6718,,,,,,,36.4,12.05,41.63,81.04,80.92,55.46,66.55,57.84,73.59,49.85,75.82,52.92,8.37,,,,,,,,,,,,,,,,,
6734,,,,,,,17.79,41.19,68.86,32.27,13.15,72.28,13.21,66.49,15.18,70.68,80.68,14.59,8.37,,,,,,,,,,,,,,,,,
6738,,,,,,,24.85,69.86,40.24,86.2,46.75,20.2,30.8,49.04,39.3,43.75,5.42,37.42,8.37,,,,,,,,,,,,,,,,,
6772,,,,,,,47.45,22.2,36.87,36.32,17.08,15.67,8.84,34.6,7.7,41.21,28.12,49.56,25.32,,,,,,,,,,,,,,,,,
6776,,,,,,,14.76,61.16,64.77,71.05,52.6,46.83,44.5,58.06,67.86,67.37,64.81,14.59,76.87,,,,,,,,,,,,,,,,,
6784,,,,,,,33.22,74.41,28.42,70.48,39.17,25.54,49.16,61.24,59.12,28.12,77.18,14.59,44.54,,,,,,,,,,,,,,,,,
6787,,,,,,,61.02,28.05,21.95,62.89,40.57,37.73,4.27,24.67,24.88,22.77,60.0,49.56,8.37,,,,,,,,,,,,,,,,,
6789,,,,,,,57.76,37.93,38.76,84.19,70.3,50.69,37.79,36.67,56.37,37.73,43.8,14.59,49.55,,,,,,,,,,,,,,,,,
6791,,,,,,,31.32,69.18,75.97,94.38,87.64,58.55,11.46,27.75,39.3,79.37,77.18,14.59,40.13,,,,,,,,,,,,,,,,,
6802,,,,,,,79.75,50.76,44.49,94.95,73.15,64.25,34.2,51.47,24.88,45.24,51.85,33.19,62.8,,,,,,,,,,,,,,,,,
6805,,,,,,,67.79,31.3,54.31,71.82,40.0,61.26,17.29,28.85,17.73,54.81,69.55,33.19,62.8,,,,,,,,,,,,,,,,,
6828,,,,,,,69.01,29.94,59.97,91.15,60.54,25.19,6.41,16.23,5.04,59.59,53.63,45.81,35.22,,,,,,,,,,,,,,,,,
6856,,,,,,,50.38,51.91,74.96,59.63,50.89,48.47,24.29,14.79,6.32,71.41,61.67,49.56,8.37,,,,,,,,,,,,,,,,,
6865,,,,,,,51.15,83.32,60.66,67.31,75.25,24.0,15.44,19.14,20.48,56.06,71.76,14.59,40.13,,,,,,,,,,,,,,,,,
6878,,,,,,,26.97,43.07,53.61,24.08,15.04,20.64,20.21,2.95,19.0,49.85,33.33,14.59,49.55,,,,,,,,,,,,,,,,,
6913,,,,,,,43.0,54.21,62.37,83.24,77.37,22.14,12.43,22.73,8.49,58.02,38.6,14.59,35.22,,,,,,,,,,,,,,,,,
6914,,,,,,,65.29,63.21,21.16,53.38,52.25,29.83,29.44,19.94,24.88,23.99,48.69,37.42,58.48,,,,,,,,,,,,,,,,,
6927,,,,,,,71.01,45.97,34.98,78.93,50.46,5.69,20.21,9.61,15.18,34.55,12.71,62.04,35.22,,,,,,,,,,,,,,,,,
6932,,,,,,,72.99,50.99,45.19,96.58,61.93,26.26,19.23,71.44,16.16,41.21,36.46,14.59,8.37,,,,,,,,,,,,,,,,,
6935,,,,,,,51.78,67.55,87.71,53.38,16.37,36.53,30.12,29.78,37.23,90.58,42.76,14.59,8.37,,,,,,,,,,,,,,,,,
7005,,,,,,,48.64,51.24,57.3,88.48,69.52,41.17,34.2,68.11,41.75,63.67,70.55,37.42,76.87,,,,,,,,,,,,,,,,,
7158,,,,,,,20.21,20.53,32.39,42.79,44.63,13.98,24.29,20.42,37.23,29.34,52.97,14.59,25.32,,,,,,,,,,,,,,,,,
7577,,,,,,,60.14,39.74,73.66,75.67,39.58,78.46,19.23,51.78,26.35,72.05,31.82,14.59,58.48,,,,,,,,,,,,,,,,,
7906,,,,,,,65.5,90.97,58.09,20.8,15.04,59.84,48.68,38.54,48.7,59.59,77.18,41.96,49.55,,,,,,,,,,,,,,,,,
8801,,,,,,,25.47,77.56,85.27,59.63,58.91,36.1,15.44,40.0,10.46,87.19,72.76,14.59,8.37,,,,,,,,,,,,,,,,,
11298,,,,,,,35.68,75.39,51.33,57.13,53.3,47.35,21.18,19.14,12.62,53.49,57.61,14.59,8.37,,,,,,,,,,,,,,,,,
11634,,,,,,,51.46,77.25,76.98,77.3,75.82,28.64,45.57,59.36,63.04,76.04,71.76,14.59,8.37,,,,,,,,,,,,,,,,,
16332,,,,,,,21.45,45.97,79.98,76.62,32.72,71.75,1.36,3.8,10.46,82.12,100.0,14.59,8.37,,,,,,,,,,,,,,,,,
20064,,,,,,,48.64,45.37,81.91,68.75,43.37,40.55,27.98,34.34,11.34,85.67,46.16,14.59,30.12,,,,,,,,,,,,,,,,,
21210,,,,,,,23.47,63.6,68.86,72.59,56.37,22.88,66.55,45.1,92.83,64.7,60.0,14.59,58.48,,,,,,,,,,,,,,,,,
23800,,,,,,,43.7,86.76,81.91,78.07,36.81,44.59,24.29,22.23,41.75,78.86,63.91,14.59,8.37,,,,,,,,,,,,,,,,,
24132,,,,,,,37.75,24.9,12.41,37.87,21.53,9.77,49.75,14.79,62.26,10.71,9.31,14.59,8.37,,,,,,,,,,,,,,,,,
24138,,,,,,,16.58,75.67,100.0,72.59,45.81,79.23,21.18,26.77,19.0,100.0,77.94,14.59,30.12,,,,,,,,,,,,,,,,,
24263,,,,,,,28.82,77.9,68.86,80.08,80.53,51.31,36.24,64.16,43.32,72.76,26.25,49.56,8.37,,,,,,,,,,,,,,,,,
26023,,,,,,,9.71,83.32,40.24,77.3,84.4,3.18,7.57,19.46,19.0,48.43,26.25,14.59,35.22,,,,,,,,,,,,,,,,,
26448,,,,,,,85.89,32.76,13.41,56.36,83.37,5.33,11.85,28.34,26.35,17.46,20.27,14.59,35.22,,,,,,,,,,,,,,,,,
26633,,,,,,,46.02,38.58,52.31,82.66,58.65,44.32,42.17,12.7,33.5,56.77,41.18,14.59,62.8,,,,,,,,,,,,,,,,,
26780,,,,,,,72.32,72.6,48.75,63.47,41.02,16.28,4.85,64.64,27.43,52.49,45.41,14.59,8.37,,,,,,,,,,,,,,,,,
27054,,,,,,,71.98,88.13,62.77,70.0,54.55,33.15,34.2,15.56,22.05,62.96,56.59,14.59,62.8,,,,,,,,,,,,,,,,,
27241,,,,,,,15.61,73.02,45.19,39.9,31.36,41.17,27.98,17.19,16.16,51.27,58.27,37.42,44.54,,,,,,,,,,,,,,,,,
27335,,,,,,,52.92,32.76,15.0,59.63,41.92,11.9,17.29,48.73,29.19,14.7,50.83,14.59,8.37,,,,,,,,,,,,,,,,,
27347,,,,,,,22.94,13.93,4.98,59.63,40.0,0.19,67.23,27.33,65.69,5.17,49.81,59.45,54.45,,,,,,,,,,,,,,,,,
27483,,,,,,,39.87,65.41,15.0,30.82,55.54,2.03,43.72,45.1,64.71,12.16,7.0,14.59,67.22,,,,,,,,,,,,,,,,,
3052,,,,,,,84.33,85.66,86.29,42.79,51.46,46.12,0.87,17.75,8.49,84.58,45.41,14.59,49.55,,,,,,,,,,,,,,,,,
3062,,,,,,,47.03,48.67,9.13,23.11,42.85,8.34,65.09,25.36,58.04,12.86,11.81,45.81,58.48,,,,,,,,,,,,,,,,,
3065,,,,,,,32.52,13.93,30.4,17.9,20.71,42.78,2.14,8.02,11.34,22.77,13.27,41.96,8.37,,,,,,,,,,,,,,,,,
3086,,,,,,,49.73,10.65,17.08,14.24,47.67,42.34,63.35,43.92,60.3,20.84,46.72,14.59,70.95,,,,,,,,,,,,,,,,,
3205,,,,,,,54.27,54.46,58.97,59.63,38.94,49.37,58.78,32.36,51.75,57.38,26.25,33.19,35.22,,,,,,,,,,,,,,,,,
3270,,,,,,,27.22,37.93,21.16,66.74,50.21,24.0,4.85,2.2,3.96,19.52,29.22,14.59,8.37,,,,,,,,,,,,,,,,,
3306,,,,,,,18.14,31.01,76.98,41.92,68.06,51.83,12.43,18.01,13.31,72.76,55.94,41.96,8.37,,,,,,,,,,,,,,,,,
3316,,,,,,,60.44,30.61,53.61,24.94,66.45,26.76,18.26,16.68,5.64,43.04,15.51,14.59,8.37,,,,,,,,,,,,,,,,,
3321,,,,,,,39.87,81.7,65.17,69.42,88.89,37.95,49.75,31.15,45.86,67.37,8.07,64.53,62.8,,,,,,,,,,,,,,,,,
3329,,,,,,,14.15,68.94,72.55,36.32,90.26,53.16,60.53,33.35,77.63,76.87,25.01,14.59,49.55,,,,,,,,,,,,,,,,,
3340,,,,,,,62.85,23.44,36.37,45.1,92.89,53.93,56.94,48.5,43.32,42.62,40.16,14.59,76.87,,,,,,,,,,,,,,,,,
3345,,,,,,,68.18,19.76,24.75,12.41,68.06,24.69,55.58,69.52,58.04,28.12,2.43,52.92,67.22,,,,,,,,,,,,,,,,,
3349,,,,,,,9.01,75.94,51.33,73.84,53.76,49.1,54.8,47.85,56.37,48.43,35.42,100.0,67.22,,,,,,,,,,,,,,,,,
3443,,,,,,,42.58,58.49,43.51,54.92,60.54,46.43,21.18,31.76,30.27,46.72,54.19,49.56,25.32,,,,,,,,,,,,,,,,,
3448,,,,,,,38.11,36.53,63.97,16.07,22.37,35.41,8.16,15.2,9.18,65.63,25.01,14.59,8.37,,,,,,,,,,,,,,,,,
3467,,,,,,,45.74,34.13,66.89,62.32,36.81,67.35,26.52,40.0,27.43,68.91,71.76,14.59,21.38,,,,,,,,,,,,,,,,,
3498,,,,,,,83.01,66.8,52.31,75.19,81.76,28.14,42.17,29.53,52.83,49.14,17.99,14.59,49.55,,,,,,,,,,,,,,,,,
3511,,,,,,,83.28,49.91,24.75,17.9,23.28,15.0,35.56,67.88,46.94,28.12,11.18,33.19,70.95,,,,,,,,,,,,,,,,,
3515,,,,,,,63.59,51.69,65.67,35.07,25.7,54.8,86.43,37.24,79.2,68.91,39.7,37.42,70.95,,,,,,,,,,,,,,,,,
3518,,,,,,,59.82,65.41,34.98,46.55,46.32,71.75,68.59,50.19,57.44,33.75,4.2,64.53,35.22,,,,,,,,,,,,,,,,,
3520,,,,,,,23.75,5.86,35.57,19.54,45.5,41.54,65.09,72.62,70.22,41.21,40.72,49.56,70.95,,,,,,,,,,,,,,,,,
3523,,,,,,,4.86,36.13,29.91,27.64,42.19,25.77,30.12,8.99,48.7,30.25,23.89,62.04,8.37,,,,,,,,,,,,,,,,,
3541,,,,,,,12.76,24.9,11.62,12.41,44.63,15.0,53.83,17.47,61.47,12.86,33.33,14.59,74.01,,,,,,,,,,,,,,,,,
