main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
Right Center Back,3253,Adil Rami,Sevilla,213,2604,46.04424446944132,7.216494845360826,29.43722943722944,100.0,26.801801801801805,26.666666666666668,7.865168539325844,9.66183574879227,30.77322262584327,49.214752073407446,0.0,18.88888888888889
Right Center Back,3324,Eric Bertrand Bailly,Villarreal,222,2328,36.76415448068991,41.23711340206185,36.36363636363637,54.77549760839376,40.0900900900901,36.29629629629629,44.943820224719104,5.314009661835748,23.19667877529839,40.47997176636668,0.0,12.222222222222221
Right Center Back,3638,Shkodran Mustafi,Valencia,207,2791,50.431196100487426,75.25773195876288,63.20346320346321,64.6042277426323,48.64864864864866,64.07407407407408,76.96629213483148,47.82608695652174,48.988064348728585,47.32662784542085,23.076923076923077,10.0
Left Center Back,4353,Aymeric Laporte,Athletic Club,215,2322,42.96962879640045,41.23711340206185,35.064935064935064,45.25536182687856,29.3918918918919,45.18518518518518,44.943820224719104,33.33333333333333,53.08770108977685,46.3208046585495,42.30769230769231,25.555555555555554
Left Center Back,4406,Aymen Abdennour,Valencia,207,2054,60.686164229471316,39.175257731958766,57.14285714285714,69.23314303348248,29.84234234234235,51.85185185185185,33.146067415730336,35.7487922705314,20.39439543331603,42.862184577377796,0.0,14.444444444444446
Right Center Back,4498,Jean-Sylvain Claude Babin,Granada,1049,2336,39.78252718410199,11.34020618556701,19.480519480519483,31.121740472149362,49.88738738738739,31.851851851851848,12.359550561797754,10.628019323671499,17.644006227296313,43.320981118757715,42.30769230769231,7.777777777777778
Left Center Back,5201,Sergio Ramos García,Real Madrid,220,2128,62.50468691413573,39.69072164948454,65.80086580086581,77.14858818083628,28.71621621621622,54.074074074074076,43.258426966292134,38.64734299516908,43.07213284898806,64.70795835539086,30.76923076923077,32.22222222222222
Left Center Back,5202,José Ignacio Fernández Iglesias,Real Madrid,220,1114,35.71428571428572,32.98969072164948,69.69696969696969,98.90449004783211,29.84234234234235,70.37037037037037,31.460674157303377,32.850241545893724,12.662169174883239,31.09228868890065,0.0,17.77777777777778
Right Center Back,5213,Gerard Piqué Bernabéu,Barcelona,217,2770,22.328458942632174,19.072164948453608,18.614718614718615,51.42724888134546,41.44144144144145,39.62962962962963,20.786516853932586,32.367149758454104,51.21951219512195,26.89253573319217,23.076923076923077,17.77777777777778
Left Center Back,5249,Diego Roberto Godín Leal,Atlético Madrid,212,2885,33.93325834270716,45.36082474226804,59.74025974025974,70.97670112636939,38.85135135135136,30.37037037037037,46.06741573033708,30.917874396135268,21.43227815256876,32.76866066701959,11.538461538461538,10.0
Right Center Back,5259,José María Giménez de Vargas,Atlético Madrid,212,2506,43.757030371203605,50.51546391752577,25.974025974025977,42.46258293473228,42.22972972972974,41.85185185185185,52.80898876404494,34.29951690821256,31.188375713544364,44.115052055761424,11.538461538461538,27.77777777777778
Right Center Back,5485,Raphaël Varane,Real Madrid,220,2139,22.722159730033752,20.103092783505154,47.18614718614718,66.19348865915752,44.5945945945946,61.48148148148148,21.910112359550563,18.357487922705314,23.508043591074202,27.263102170460566,0.0,4.444444444444445
Left Center Back,5506,Javier Alejandro Mascherano,Barcelona,217,2864,55.36182977127859,58.762886597938135,20.77922077922078,47.369233143033476,21.959459459459463,60.74074074074074,62.35955056179776,44.927536231884055,66.11312921639853,55.46144344450327,0.0,34.44444444444444
Left Center Back,5598,Óscar Esau Duarte Gaitán,Espanyol,214,1215,31.252343457067866,18.041237113402058,44.58874458874459,54.08116031476623,52.815315315315324,46.29629629629629,19.662921348314605,33.81642512077295,33.62740010378827,35.29204164460914,26.923076923076927,15.555555555555555
Right Center Back,6376,Stefan Savić,Atlético Madrid,212,937,91.90101237345331,56.70103092783505,41.991341991342,59.14210769942909,40.65315315315316,16.29629629629629,51.12359550561797,25.603864734299513,29.216398546964196,71.62519851773426,0.0,0.0
Right Center Back,6561,Luis Hernández Rodríguez,Sporting Gijón,1041,3351,42.14473190851144,20.618556701030926,100.0,79.10816232062953,45.83333333333334,24.44444444444444,22.471910112359552,12.077294685990339,39.49143746756615,45.54437974236809,0.0,41.11111111111111
Left Center Back,6573,Bernardo José Espinosa Zúñiga,Sporting Gijón,1041,1494,87.49531308586427,37.113402061855666,53.67965367965368,59.14210769942909,56.981981981982,69.62962962962962,40.44943820224719,27.053140096618357,27.867151011935654,88.23010411152285,23.076923076923077,26.666666666666668
Left Center Back,6592,Rúben Miguel Nunes Vezo,Valencia,207,927,22.722159730033752,62.37113402061855,84.4155844155844,61.85773800339452,45.608108108108105,95.55555555555554,51.685393258426956,86.95652173913044,53.96990140114166,11.222869242985706,0.0,32.22222222222222
Left Center Back,6614,Alexis Ruano Delgado,Getafe,216,1394,42.96962879640045,17.525773195876283,58.008658008657996,49.7145502237309,36.03603603603604,33.33333333333333,11.797752808988765,41.54589371980676,20.757654385054487,24.263278630668783,23.076923076923077,42.22222222222222
Left Center Back,6647,Zouhair Feddal,Levante UD,221,2606,46.04424446944132,26.28865979381443,60.606060606060595,52.337602221879344,61.82432432432433,39.25925925925926,25.28089887640449,24.637681159420293,51.68655941878567,39.932945120875246,11.538461538461538,22.222222222222225
Left Center Back,6665,Íñigo Martínez Berridi,Real Sociedad,210,2787,56.8241469816273,45.87628865979381,50.649350649350644,52.430180527696336,31.644144144144153,36.666666666666664,44.38202247191011,35.26570048309179,54.28126621691748,49.72648667725428,11.538461538461538,6.666666666666667
Left Center Back,6702,David Rodríguez Lombán,Granada,1049,2707,35.32058492688414,7.731958762886598,43.722943722943725,62.07375405030088,39.07657657657658,58.14814814814814,6.741573033707865,31.40096618357488,22.573949143746752,31.462855126169043,0.0,6.666666666666667
Right Center Back,6713,Diego Javier Llorente Ríos,Rayo Vallecano,360,3066,24.25946756655419,34.02061855670103,55.84415584415584,69.6960345625675,29.054054054054056,48.888888888888886,35.95505617977528,33.33333333333333,30.254281266216914,26.080818775366154,19.230769230769234,25.555555555555554
