main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Right Defensive Midfield,3160,Rene Krhin,Granada,1049,1496,70.3883495145631,11.3013698630137,30.293453724604973,7.377049180327869,6.285419886656361,29.200000000000003,40.15151515151515,0.0,0.0,52.96729915220024,29.93794552282064
Left Defensive Midfield,3292,Abdoulaye Doucouré,Granada,1049,1215,52.42718446601942,60.1027397260274,51.78329571106095,30.737704918032787,4.894384337970119,17.6,34.848484848484844,0.0,32.55813953488372,35.40573274121922,39.773477929065514
Right Defensive Midfield,3610,Roque Mesa Quevedo,Las Palmas,208,3161,44.1747572815534,56.849315068493155,18.103837471783297,15.983606557377051,12.82843894899536,21.599999999999998,31.439393939393934,9.523809523809526,11.627906976744187,83.8514331853048,38.04222087508764
Left Defensive Midfield,3637,Grzegorz Krychowiak,Sevilla,213,2326,76.2135922330097,28.082191780821912,19.367945823927762,5.327868852459017,21.74137042761463,44.39999999999999,54.92424242424241,0.0,0.0,45.72062979410577,33.92644385091083
Center Defensive Midfield,5203,Sergio Busquets i Burgos,Barcelona,217,3141,20.873786407766985,18.150684931506845,31.422121896162537,18.442622950819672,32.766615146831526,55.199999999999996,21.969696969696965,0.0,32.55813953488372,57.56964069438838,31.773926262609905
Center Defensive Midfield,5539,Carlos Henrique Casimiro,Real Madrid,220,1575,85.92233009708737,35.61643835616439,60.90293453724605,13.934426229508198,30.80886141164348,97.2,84.84848484848484,23.80952380952381,25.581395348837212,63.12071053693985,51.60152913224399
Center Defensive Midfield,5574,Toni Kroos,Real Madrid,220,2970,46.116504854368934,26.883561643835623,48.08126410835214,65.57377049180327,55.28078310149408,38.0,23.48484848484848,14.285714285714285,62.7906976744186,80.72264836495762,48.004141159044075
Right Defensive Midfield,5582,Celso Borges Mora,RC Deportivo La Coruña,219,1951,54.36893203883496,10.102739726027394,20.090293453724602,36.885245901639344,24.059763008758374,26.0,23.86363636363636,61.904761904761905,20.930232558139533,65.78522406136454,35.36451134332192
Left Defensive Midfield,5671,Alfred John Momar N''Diaye,Real Betis,218,3169,45.14563106796117,27.73972602739726,40.767494356659135,0.8196721311475412,1.9062339000515203,41.99999999999999,45.45454545454545,23.80952380952381,0.0,49.61647153815099,31.786900693856417
Right Defensive Midfield,5737,Steven N''Kemboanza Mike Christopher Nzonzi,Sevilla,213,2048,21.35922330097087,6.506849315068491,23.38600451467269,15.163934426229508,23.235445646573936,28.800000000000004,40.15151515151515,61.904761904761905,9.30232558139535,70.06459426725878,27.827213807028794
Center Defensive Midfield,5741,Enzo Nicolás Pérez,Valencia,207,1491,29.61165048543689,16.78082191780822,31.647855530474033,12.295081967213115,14.78619268418341,26.8,60.98484848484848,0.0,0.0,23.29430763019782,22.213406089865295
Right Defensive Midfield,6384,Gabriel Fernández Arenas,Atlético Madrid,212,3161,36.89320388349515,53.767123287671225,49.34537246049662,24.180327868852462,63.88459556929417,50.40000000000001,60.60606060606061,9.523809523809526,11.627906976744187,44.993944287444485,44.480985327579575
Right Defensive Midfield,6389,Mikel San José Domínguez,Athletic Club,215,2787,57.28155339805826,27.568493150684937,43.024830699774256,15.983606557377051,33.38485316846986,40.800000000000004,53.03030303030303,28.57142857142857,20.930232558139533,64.51352442470731,39.80491093692358
Left Defensive Midfield,6396,Beñat Etxebarria Urkiaga,Athletic Club,215,2972,50.48543689320388,61.643835616438345,43.792325056433405,75.40983606557377,75.1674394641937,38.0,38.25757575757576,14.285714285714285,27.906976744186046,54.339927331449324,54.56355862826186
Right Defensive Midfield,6580,José Luis García del Pozo,Málaga,223,2976,28.155339805825243,43.835616438356155,36.704288939051914,39.34426229508197,24.678001030396704,42.8,70.07575757575758,0.0,27.906976744186046,48.526443278159064,35.527150380978696
Right Defensive Midfield,6599,Rubén Salvador Pérez Del Mármol,Granada,1049,2802,52.42718446601942,34.93150684931507,51.55756207674943,29.098360655737704,42.96754250386399,62.4,55.3030303030303,0.0,13.953488372093023,49.95962858296326,43.26141501038332
Right Defensive Midfield,6622,Tomás Pina Isla,Villarreal,222,1770,43.203883495145625,34.76027397260275,27.765237020316025,11.885245901639344,14.683153013910358,39.2,73.10606060606061,0.0,11.627906976744187,47.51715785224061,30.270675518315798
Right Defensive Midfield,6633,Markel Bergara Larrañaga,Real Sociedad,210,1393,69.90291262135922,28.253424657534254,40.451467268623034,0.0,14.425553838227717,53.599999999999994,71.5909090909091,28.57142857142857,0.0,81.73193379087607,40.028616651940546
Left Defensive Midfield,6671,Asier Illarramendi Andonegi,Real Sociedad,210,2972,97.57281553398059,46.57534246575342,55.25959367945824,31.967213114754102,55.3323029366306,51.20000000000001,38.25757575757576,14.285714285714285,6.976744186046512,41.56237383932175,54.04752579064408
Right Defensive Midfield,6712,Gonzalo Escalante,Eibar,322,2976,67.96116504854369,48.45890410958905,64.55981941309255,15.983606557377051,26.42967542503864,70.4,100.0,42.857142857142854,6.976744186046512,55.77311263625354,48.571425095887314
Left Defensive Midfield,6733,Pedro Mosquera Parada,RC Deportivo La Coruña,219,3438,43.689320388349515,31.849315068493155,60.94808126410835,19.672131147540988,36.99124162802679,70.4,64.77272727272727,0.0,11.627906976744187,62.111425111021404,42.74431668658987
Right Defensive Midfield,6736,Álvaro Medrán Just,Getafe,216,1493,38.34951456310679,45.54794520547946,38.60045146726863,17.21311475409836,16.898505924781045,31.599999999999994,60.98484848484848,57.14285714285714,13.953488372093023,82.45861929753735,40.2770083761943
Left Defensive Midfield,6745,Mehdi Lacen,Getafe,216,2882,46.116504854368934,53.93835616438357,49.75169300225733,11.475409836065575,23.493044822256568,42.400000000000006,57.954545454545446,0.0,0.0,54.44085587404119,40.45110469187972
Center Defensive Midfield,6751,Javier Fuego Martínez,Valencia,207,2138,46.60194174757281,35.78767123287671,66.54627539503386,12.704918032786885,27.357032457496132,41.99999999999999,79.16666666666666,0.0,0.0,38.13080339119903,37.19070887278121
Right Defensive Midfield,6758,Víctor Sánchez Mata,Espanyol,214,2605,36.89320388349515,14.212328767123289,67.49435665914221,28.688524590163933,10.922205048943843,67.6,76.89393939393938,14.285714285714285,39.53488372093024,54.25918449737587,36.517179993057375
Left Defensive Midfield,6764,Pablo Fornals Malla,Málaga,223,1117,50.0,78.25342465753425,39.45823927765237,43.442622950819676,39.721792890262755,34.4,27.27272727272727,38.0952380952381,0.0,47.6584578118692,51.13283372957541
Right Defensive Midfield,6771,Manuel Trigueros Muñoz,Villarreal,222,2236,26.699029126213585,34.07534246575343,30.83521444695259,22.13114754098361,39.876352395672335,22.799999999999997,41.28787878787878,38.0952380952381,9.30232558139535,34.94146144529673,32.26046913268884
Left Defensive Midfield,6775,Daniel García Carrillo,Eibar,322,3253,53.398058252427184,49.486301369863014,25.95936794582393,13.114754098360656,52.756311179804214,40.400000000000006,46.590909090909086,0.0,0.0,45.59951554299555,39.65838683128086
Left Defensive Midfield,6796,Nemanja Radoja,Celta Vigo,209,1397,53.883495145631066,51.19863013698631,58.82618510158013,5.327868852459017,27.92375064399794,100.0,59.09090909090909,0.0,0.0,64.85668146951959,49.00246270653115
Right Defensive Midfield,6867,Papa Kouly Diop,Espanyol,214,2701,73.7864077669903,33.56164383561644,30.925507900677196,1.2295081967213115,30.705821741370425,41.6,90.9090909090909,42.857142857142854,0.0,46.003229713362934,36.97037467982148
