main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90,rating
Left Center Midfield,4926,Francisco Román Alarcón Suárez,Real Madrid,220,1948,28.189415041782727,52.01238390092878,100.0,84.33809819763826,27.111111111111114,14.243126863199738,17.333333333333336,71.11111111111111,71.88200149365198,93.28385899814471,36.18881118881118,51.080806217902776
Left Center Midfield,5216,Andrés Iniesta Luján,Barcelona,217,2305,88.35654596100278,31.57894736842105,50.64599483204135,90.7085146053449,36.88888888888889,10.533289168598879,4.0,15.555555555555555,79.35026138909633,79.2207792207792,39.68531468531468,54.89892845990386
Right Center Midfield,5463,Luka Modrić,Real Madrid,220,2873,70.91922005571028,52.941176470588225,34.36692506459949,96.20882535736477,24.444444444444446,5.332891685988742,8.0,26.666666666666668,88.33084391336818,67.30983302411873,49.475524475524466,52.615854499057384
Right Center Midfield,5470,Ivan Rakitić,Barcelona,217,2771,35.8217270194986,23.839009287925695,11.369509043927648,87.01056556867618,24.444444444444446,13.415038092083476,29.333333333333332,13.333333333333334,44.15608663181479,50.70500927643784,32.51748251748251,35.55247808509916
Right Center Midfield,5678,Jefferson Andrés Lerma Solís,Levante UD,221,2883,21.00278551532033,17.027863777089784,10.077519379844963,49.502796768179,28.44444444444445,10.765154024511428,4.0,13.333333333333334,46.676624346527255,62.0964749536178,36.01398601398601,27.5481321645872
Left Center Midfield,5695,James David Rodríguez Rubio,Real Madrid,220,1573,57.43732590529247,100.0,34.62532299741602,71.81479179614666,30.666666666666664,19.94037760847963,53.333333333333336,100.0,52.38984316654219,58.589981447124295,34.09090909090908,58.058897399425234
Right Center Midfield,6595,Daniel Parejo Muñoz,Valencia,207,2791,61.39275766016713,31.57894736842105,26.356589147286826,72.34307022995648,51.555555555555564,49.22159655515072,33.33333333333333,35.55555555555556,60.00746825989545,80.55658627087197,49.475524475524466,53.18995487537119
Left Center Midfield,6659,Víctor Camarasa Ferrando,Levante UD,221,1957,20.779944289693592,21.67182662538699,25.839793281653744,78.5891858297079,40.8888888888889,32.12984431931103,12.0,28.888888888888893,50.560119492158314,75.58441558441557,57.5174825174825,38.2766467060874
Right Center Midfield,6797,Daniel Wass,Celta Vigo,209,2891,49.136490250696376,29.411764705882348,13.953488372093027,62.52330640149161,29.777777777777786,2.086783703212987,8.0,33.33333333333333,74.12247946228528,67.569573283859,17.83216783216783,40.07610178650856
Left Center Midfield,6801,Pedro Pablo Hernández,Celta Vigo,209,2611,45.68245125348188,5.572755417956656,25.581395348837212,66.74953387197017,65.77777777777779,22.95462073534283,8.0,22.222222222222225,81.6840926064227,86.5491651205937,40.38461538461538,45.19478456770465
