main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Center Forward,3486,Fernando Llorente Torres,Sevilla,213,1306,28.40909090909091,34.42622950819672,24.324324324324323,40.594534121783596,42.92035398230089,61.53846153846154,23.448275862068968,48.78048780487806,33.33333333333333,36.893203883495154,50.59510442398383,68.42,0.0,9.456928838951313,41.71138096582885,16.502463054187192,35.87201442091032,29.838889705555033
Center Forward,5217,Iago Aspas Juncal,Celta Vigo,209,2892,36.36363636363637,47.540983606557376,38.73873873873874,34.37749720313249,54.42477876106195,63.409230769230774,36.206896551724135,36.58536585365854,33.33333333333333,51.941747572815544,56.7258028295531,50.0,23.205741626794254,45.037453183520604,73.53854843264617,45.07389162561577,34.5200540784137,42.374310982953595
Center Forward,5246,Luis Alberto Suárez Díaz,Barcelona,217,3233,77.27272727272728,100.0,100.0,47.434872942304615,65.04424778761062,45.92,47.93103448275862,100.0,27.77777777777778,50.97087378640778,79.33977094093869,25.0,38.038277511961724,42.509363295880156,63.40016944365999,41.625615763546804,14.556106354213611,69.65401087291868
Right Center Forward,5487,Antoine Griezmann,Atlético Madrid,212,3349,38.63636363636363,70.49180327868852,53.15315315315314,50.80709605242129,55.30973451327434,69.04615384615384,42.41379310344828,31.70731707317073,11.111111111111112,53.88349514563109,54.70469346507972,27.27,15.550239234449755,49.43820224719101,80.57046032194296,72.16748768472905,47.49887336638125,51.62226808576522
Center Forward,6038,John Guidetti,Celta Vigo,209,1117,46.590909090909086,54.0983606557377,50.45045045045045,73.0062330190187,47.787610619469035,72.9353846153846,44.13793103448276,0.0,88.8888888888889,52.427184466019426,55.93981585448014,0.0,46.411483253588514,22.00374531835206,62.6941541937306,55.66502463054187,68.04867057232988,43.631074745115164
Left Center Forward,6382,Fernando José Torres Sanz,Atlético Madrid,212,1582,40.90909090909091,72.1311475409836,55.85585585585585,39.61962601885888,31.41592920353982,54.69538461538461,62.758620689655174,26.82926829268293,0.0,28.640776699029136,82.73074331911073,75.0,43.77990430622008,61.79775280898876,43.46229878565377,53.448275862068975,47.408742676881474,51.012626075599705
Center Forward,6394,Aritz Aduriz Zubeldia,Athletic Club,215,2792,59.09090909090909,50.81967213114753,57.65765765765766,52.29343135688029,36.72566371681417,48.073846153846155,27.586206896551722,46.34146341463415,33.33333333333333,30.58252427184466,51.897597125533345,45.16,39.952153110047846,28.37078651685393,36.1479807963852,37.4384236453202,17.981072555205046,43.75214412978474
Center Forward,6401,Kevin Gameiro,Sevilla,213,2046,71.5909090909091,40.983606557377044,63.063063063063055,57.50359597251078,37.61061946902656,52.75076923076924,31.724137931034484,31.70731707317073,22.222222222222225,34.95145631067962,98.27082865483945,66.67,11.004784688995214,51.02996254681648,62.52471053374754,48.0295566502463,37.53943217665615,47.410524843515326
Center Forward,6402,Francisco Alcácer García,Valencia,207,2327,47.72727272727273,42.62295081967213,45.04504504504504,45.676841937030524,40.707964601769916,50.14153846153846,14.482758620689657,46.34146341463415,0.0,34.95145631067962,42.64540759038851,25.0,8.851674641148325,10.205992509363295,64.41683140355833,13.300492610837436,40.333483551149165,36.53663266687018
Center Forward,6566,Borja González Tomás,Eibar,322,2698,54.545454545454554,49.18032786885246,54.05405405405405,46.25219753875659,19.026548672566374,71.00307692307692,17.24137931034483,24.39024390243903,16.666666666666664,16.019417475728158,57.82618459465528,50.0,14.593301435406694,17.228464419475657,54.589099124541086,32.266009852216754,55.385308697611535,39.94717788197901
