main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
Left Midfield,3601,Charly Musonda Junior,Real Betis,218,1212,67.40740740740739,63.496810207336516,17.877094972067038,19.43573667711599,42.04545454545455,47.23883221948646,90.26128266033255,12.06896551724138,56.50938032973281,7.446808510638299,33.33333333333333,50.451354062186546,20.057306590257877
Left Wing,4320,Neymar da Silva Santos Junior,Barcelona,217,3136,85.74074074074073,71.71052631578947,38.547486033519554,67.71159874608152,27.435064935064936,23.35561027084066,98.09976247030878,58.62068965517242,77.65776009096076,72.3404255319149,45.45454545454546,31.644934804413232,71.63323782234956
Left Midfield,5199,Jorge Resurrección Merodio,Atlético Madrid,212,3162,10.0,49.860446570972876,20.670391061452513,51.09717868338558,51.461038961038966,50.54519873373198,32.304038004750595,67.24137931034484,22.228538942581014,14.893617021276597,36.36363636363637,33.625877632898685,58.166189111747855
Right Wing,5200,Lucas Vázquez Iglesias,Real Madrid,220,929,44.259259259259245,82.87480063795853,83.79888268156425,63.63636363636365,67.20779220779221,83.25712275765038,84.08551068883611,100.0,68.67538374076179,40.42553191489362,51.515151515151516,48.24473420260782,74.78510028653295
Left Wing,5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,220,3336,22.777777777777775,61.62280701754387,28.49162011173184,22.5705329153605,0.0,0.0,20.427553444180525,44.827586206896555,36.213757816941445,100.0,42.42424242424242,67.77833500501502,28.36676217765043
Right Wing,5503,Lionel Andrés Messi Cuccittini,Barcelona,217,2863,100.0,96.37161084529504,5.58659217877095,52.03761755485894,13.14935064935065,4.889201547660921,49.40617577197149,81.0344827586207,70.72200113700967,86.17021276595746,51.515151515151516,29.6890672016048,61.03151862464182
Right Wing,5560,Carlos Alberto Vela Garrido,Real Sociedad,210,2973,28.888888888888886,45.51435406698564,30.72625698324022,39.49843260188088,37.01298701298701,29.33520928596553,60.09501187648456,20.689655172413794,30.756111426947125,15.957446808510639,15.151515151515152,18.681043129388154,39.541547277936964
Left Midfield,5633,Yannick Ferreira Carrasco,Atlético Madrid,212,1489,70.74074074074073,63.456937799043054,20.670391061452513,29.780564263322884,90.42207792207793,45.40977840309532,35.62945368171022,10.344827586206897,82.20579874928934,25.53191489361702,27.272727272727277,66.75025075225676,28.939828080229223
Right Wing,5718,Rodrigo Moreno Machado,Valencia,207,1395,19.814814814814817,34.988038277511954,36.31284916201117,30.407523510971785,27.272727272727277,40.06331340133662,31.11638954869359,32.758620689655174,28.08413871517908,12.76595744680851,6.060606060606061,27.30692076228686,33.2378223495702
Right Wing,5724,Fayçal Fajr,RC Deportivo La Coruña,219,2883,9.62962962962963,45.95295055821371,33.5195530726257,44.827586206896555,42.6948051948052,42.068237776996135,17.102137767220903,15.517241379310345,16.827743035815804,15.957446808510639,42.42424242424242,20.762286860581746,43.55300859598854
