main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,rating
Left Back,3023,Yuri Berchiche Izeta,Real Sociedad,210,1954,52.6031982149498,42.56198347107438,78.97727272727272,63.33333333333333,38.588110403397025,27.906976744186046,45.466534784042224,47.05539358600583,41.31736526946108,41.77777777777777,44.55782312925171,0.0,75.0,41.0239320828057
Right Back,3063,Danilo Luiz da Silva,Real Madrid,220,2136,66.21420602454447,62.39669421487603,74.43181818181817,60.903703703703705,26.433121019108285,25.193798449612398,77.48104187273327,47.28862973760932,37.724550898203596,63.55555555555556,53.06122448979592,24.242424242424242,87.5,44.426153589859645
Right Back,4324,Daniel Alves da Silva,Barcelona,217,2218,68.89178133134996,57.851239669421474,29.545454545454547,46.992592592592594,48.72611464968153,32.17054263565892,80.31651829871414,65.30612244897958,62.87425149700599,52.0,53.74149659863946,0.0,66.66666666666667,49.586943227702726
Right Back,4546,Dimitri Foulquier,Granada,1049,1491,59.42729639271105,44.62809917355371,43.18181818181818,17.51111111111111,46.12526539278132,23.255813953488374,50.840751730959454,33.469387755102034,25.149700598802394,44.888888888888886,52.04081632653062,18.18181818181818,25.0,34.87537856256919
Left Back,5211,Jordi Alba Ramos,Barcelona,217,2679,72.18296764596505,30.578512396694208,33.52272727272727,42.63703703703704,20.912951167728245,25.968992248062012,83.21793603692717,46.99708454810496,37.724550898203596,33.33333333333333,19.387755102040817,0.0,83.33333333333334,38.965546153182565
Left Back,5552,Marcelo Vieira da Silva Júnior,Real Madrid,220,2597,74.20974339903312,59.09090909090908,69.88636363636364,51.955555555555556,18.73673036093419,62.01550387596898,68.51302340916585,75.27696793002914,51.49700598802396,62.66666666666666,19.047619047619047,18.18181818181818,41.66666666666667,51.733313258980296
Left Back,5588,Antonio Rukavina,Villarreal,222,1302,30.847898847155076,27.272727272727266,46.02272727272727,41.7037037037037,15.498938428874734,5.426356589147288,54.43455324760965,10.379008746355684,0.0,25.33333333333333,39.1156462585034,0.0,0.0,16.53549018914451
Right Back,5721,Daniel Carvajal Ramos,Real Madrid,220,1756,42.673856452212725,23.553719008264462,85.22727272727273,79.71851851851852,43.15286624203822,61.240310077519375,84.86646884273,54.052478134110785,91.61676646706587,22.666666666666668,55.442176870748305,0.0,83.33333333333334,47.95873132223721
Left Back,6320,Filipe Luís Kasmirski,Atlético Madrid,212,2977,72.3503161026404,90.9090909090909,100.0,73.05185185185185,47.08067940552018,31.3953488372093,60.23738872403565,74.28571428571428,30.538922155688624,94.66666666666667,32.31292517006803,9.09090909090909,50.0,55.63703076399486
Right Back,6375,Juan Francisco Torres Belén,Atlético Madrid,212,3162,44.27296392711046,26.033057851239672,59.65909090909089,56.25185185185185,14.278131634819541,26.35658914728682,49.19221892515662,30.49562682215743,61.07784431137725,25.33333333333333,38.0952380952381,6.0606060606060606,8.333333333333334,30.34931739054698
Right Back,6379,Sergi Roberto Carnicer,Barcelona,217,1935,41.74414280401637,35.537190082644614,29.545454545454547,54.10370370370371,50.15923566878981,28.294573643410853,85.9874711506759,52.186588921282784,24.550898203592812,36.00000000000001,26.190476190476193,0.0,95.83333333333334,41.37502270007317
Right Back,6386,Eneko Bóveda Altube,Athletic Club,215,1396,39.8475269616958,40.49586776859503,94.31818181818181,55.48148148148149,53.29087048832272,22.48062015503876,49.12627761292452,53.002915451895035,49.700598802395206,37.333333333333336,42.51700680272109,0.0,0.0,38.55329293864675
Left Back,6392,Íñigo Lekue Martínez,Athletic Club,215,1115,67.9620676831536,80.99173553719005,64.20454545454545,59.25925925925925,57.11252653927814,31.782945736434108,43.09264754368615,48.62973760932944,67.66467065868264,81.77777777777777,29.931972789115648,24.242424242424242,0.0,52.50815812038385
Right Back,6569,Roberto José Rosales Altuve,Málaga,223,3260,47.37820751208628,55.78512396694213,64.20454545454545,66.22222222222223,31.157112526539283,17.829457364341085,38.60863831190244,31.195335276967924,27.54491017964072,57.333333333333336,30.952380952380953,0.0,33.333333333333336,35.58087293797206
Left Back,6596,José Luis Gayà Peña,Valencia,207,1397,41.48382298252139,64.46280991735537,35.22727272727273,56.13333333333333,42.62208067940553,32.55813953488372,58.85262116716126,42.0408163265306,38.32335329341318,68.88888888888889,25.170068027210885,0.0,0.0,40.596158782035026
Right Back,6605,Joseba Zaldúa Bengoetxea,Real Sociedad,210,926,30.23428783934548,39.669421487603294,28.409090909090907,17.15555555555555,48.72611464968153,16.279069767441857,25.486317177711854,24.373177842565592,52.09580838323353,40.444444444444436,76.87074829931973,0.0,0.0,28.867966354475556
Left Back,6612,Rubén Duarte Sánchez,Espanyol,214,1955,54.834510970621054,55.78512396694213,63.06818181818181,33.511111111111106,41.45435244161359,15.503875968992247,36.861193537751426,22.040816326530603,32.93413173652695,56.00000000000001,52.38095238095239,0.0,16.666666666666668,33.13062465102403
Right Back,6627,Damián Nicolás Suárez Suárez,Getafe,216,2796,54.14652287095575,47.10743801652891,55.68181818181819,60.903703703703705,49.89384288747346,32.55813953488372,50.6429277942631,25.481049562682212,24.550898203592812,50.222222222222214,48.9795918367347,0.0,37.5,37.280589644863696
