main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating
Goalkeeper,3379,Alphonse Areola,Villarreal,222,2984,39.24914675767918,77.82696177062377,85.1063829787234,43.00518134715027,50.0,56.90607734806631,39.48876156897312,70.53842169602923
Goalkeeper,4691,Claudio Andrés Bravo Muñoz,Barcelona,217,2957,39.931740614334466,92.87726358148895,96.80851063829789,13.471502590673579,0.0,6.0773480662983435,100.0,73.82397726199683
Goalkeeper,5577,Francisco Guillermo Ochoa Magaña,Málaga,223,928,49.829351535836174,67.84708249496984,96.80851063829789,29.53367875647669,0.0,4.0055248618784525,40.788893785808725,66.39747397087385
Goalkeeper,5597,Keylor Navas Gamboa,Real Madrid,220,3152,45.39249146757679,78.67203219315896,92.55319148936171,49.22279792746115,75.0,40.46961325966852,67.45262230057295,76.25711324540009
Goalkeeper,6378,Jan Oblak,Atlético Madrid,212,3535,26.621160409556303,100.0,96.80851063829789,20.725388601036272,0.0,31.21546961325967,29.660643455266637,73.51880059082886
Goalkeeper,6576,Gorka Iraizoz Moreno,Athletic Club,215,3440,35.836177474402724,60.12072434607646,75.53191489361703,79.79274611398964,20.0,54.69613259668509,50.79330101366239,63.44528918087027
Goalkeeper,6610,Iván Cuéllar Sacristán,Sporting Gijón,1041,2972,70.64846416382251,51.06639839034205,40.425531914893625,59.067357512953365,16.67,62.43093922651934,10.885852798589681,45.736250369091934
Goalkeeper,6625,Vicente Guaita Panadero,Getafe,216,3534,61.4334470989761,31.22736418511069,41.48936170212767,48.70466321243524,20.0,70.85635359116024,31.313353900396653,41.58007225739463
Goalkeeper,6654,Antonio Adán Garrido,Real Betis,218,3357,68.25938566552901,57.70623742454731,58.51063829787234,33.678756476683944,0.0,52.348066298342545,10.577346848832079,51.39391360821584
Goalkeeper,6694,Gerónimo Rulli,Real Sociedad,210,3343,51.19453924914675,56.820925553319945,64.89361702127661,46.11398963730571,25.0,47.50000000000001,53.30542089026002,56.56092933336948
Goalkeeper,6730,Rubén Iván Martínez Andrade,Levante UD,221,1396,44.027303754266214,11.227364185110664,22.3404255319149,34.71502590673576,33.33,15.745856353591162,38.1665932128691,22.962965509079442
Goalkeeper,6792,Pau López Sabata,Espanyol,214,3259,49.829351535836174,20.44265593561368,29.787234042553205,48.70466321243524,0.0,36.04972375690608,37.5275451740855,29.740396098581115
Goalkeeper,6823,Sergio Rico González,Sevilla,213,3166,57.679180887372006,61.52917505030185,58.51063829787234,28.497409326424876,0.0,46.40883977900553,62.7148523578669,53.32896490652473
Goalkeeper,6884,Sergio Álvarez Conde,Celta Vigo,209,2795,49.488054607508516,33.8430583501006,42.553191489361716,48.186528497409334,25.0,41.4364640883978,43.74173644777435,40.416286332391266
Goalkeeper,6898,Jaume Doménech Sánchez,Valencia,207,1579,76.45051194539248,81.60965794768615,80.85106382978724,18.134715025906736,100.0,12.569060773480665,45.130013221683555,70.05718885652378
Goalkeeper,8697,Andrés Eduardo Fernández Moreno,Granada,1049,3455,42.66211604095563,14.004024144869206,28.723404255319164,41.96891191709845,0.0,48.61878453038675,41.22961657117673,27.763669609919845
Goalkeeper,10763,Asier Riesgo Unamuno,Eibar,322,3159,31.39931740614334,10.663983903420519,41.48936170212767,69.94818652849742,25.0,56.76795580110499,21.022476862053765,34.458758022543
Goalkeeper,23843,Diego Mariño Villar,Levante UD,221,2144,64.16382252559725,33.44064386317909,34.04255319148937,48.70466321243524,0.0,37.43093922651934,69.56809167033936,37.57910752803611
Goalkeeper,24255,Juan Carlos Martín Corral,Rayo Vallecano,360,1767,66.89419795221842,30.181086519114697,18.08510638297874,81.86528497409327,25.0,34.25414364640884,71.77170559717936,33.79604911535765
