,main_position,player_id,player_name,team,team_id,minutes_played,progressive_carries_rate,progressive_carries_per90,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
7,Right Center Back,3253,Adil Rami,Sevilla,213,2604,48.96694214876033,46.69421487603306,45.66115702479338,1.0330578512396695,48.34710743801653,100.0,7.43801652892562,6.40495867768595,2.066115702479339,8.057851239669422,47.31404958677686,58.057851239669425,21.90082644628099,59.917355371900825
9,Right Center Back,3324,Eric Bertrand Bailly,Villarreal,222,2328,42.561983471074385,35.12396694214876,25.6198347107438,60.33057851239669,61.98347107438017,33.67768595041322,37.60330578512397,19.421487603305785,65.9090909090909,2.479338842975207,25.206611570247933,37.1900826446281,21.90082644628099,37.1900826446281
17,Right Center Back,3638,Shkodran Mustafi,Valencia,207,2791,36.36363636363637,58.67768595041323,57.85123966942148,95.86776859504133,92.97520661157024,59.29752066115702,56.81818181818182,77.68595041322314,95.86776859504133,91.32231404958677,82.64462809917356,53.51239669421488,72.52066115702479,29.958677685950413
21,Left Center Back,4353,Aymeric Laporte,Athletic Club,215,2322,95.86776859504133,81.40495867768594,38.429752066115704,60.33057851239669,58.67768595041323,15.702479338842975,11.15702479338843,39.87603305785124,65.9090909090909,70.45454545454545,87.19008264462809,51.03305785123967,92.76859504132231,77.27272727272727
22,Left Center Back,4406,Aymen Abdennour,Valencia,207,2054,32.438016528925615,44.214876033057855,79.54545454545455,55.99173553719008,88.42975206611571,65.9090909090909,11.983471074380166,54.132231404958674,44.421487603305785,75.20661157024794,18.801652892561986,41.942148760330575,21.90082644628099,44.214876033057855
24,Right Center Back,4498,Jean-Sylvain Claude Babin,Granada,1049,2336,41.735537190082646,15.909090909090908,31.40495867768595,3.925619834710744,25.0,5.991735537190083,61.15702479338842,13.016528925619836,5.371900826446281,9.50413223140496,14.46280991735537,43.18181818181818,92.76859504132231,22.107438016528928
34,Left Center Back,5201,Sergio Ramos García,Real Madrid,220,2128,16.94214876033058,59.50413223140496,84.29752066115702,57.64462809917356,94.21487603305785,80.37190082644628,9.297520661157025,58.47107438016529,61.15702479338842,80.16528925619835,76.85950413223141,88.22314049586777,81.81818181818183,86.36363636363636
35,Left Center Back,5202,José Ignacio Fernández Iglesias,Real Madrid,220,1114,7.43801652892562,10.330578512396695,23.140495867768596,45.45454545454545,96.07438016528926,99.58677685950413,11.983471074380166,88.01652892561982,40.082644628099175,69.62809917355372,6.6115702479338845,17.56198347107438,21.90082644628099,55.16528925619835
39,Right Center Back,5213,Gerard Piqué Bernabéu,Barcelona,217,2770,94.62809917355372,98.7603305785124,7.024793388429752,14.669421487603307,22.31404958677686,26.446280991735538,40.909090909090914,26.65289256198347,16.94214876033058,68.38842975206612,85.12396694214877,11.570247933884298,72.52066115702479,55.16528925619835
43,Left Center Back,5249,Diego Roberto Godín Leal,Atlético Madrid,212,2885,69.21487603305785,25.206611570247933,19.834710743801654,67.97520661157024,91.52892561983471,70.24793388429752,33.264462809917354,11.15702479338843,67.97520661157024,63.63636363636363,21.90082644628099,19.834710743801654,51.2396694214876,29.958677685950413
44,Right Center Back,5259,José María Giménez de Vargas,Atlético Madrid,212,2506,50.0,16.94214876033058,40.082644628099175,77.68595041322314,37.8099173553719,14.049586776859504,42.14876033057851,31.818181818181817,80.78512396694215,72.72727272727273,48.34710743801653,45.45454545454545,51.2396694214876,80.57851239669421
49,Right Center Back,5485,Raphaël Varane,Real Madrid,220,2139,3.71900826446281,38.01652892561984,7.851239669421488,16.528925619834713,80.57851239669421,62.396694214876035,46.69421487603306,71.48760330578511,20.041322314049587,29.958677685950413,26.65289256198347,11.983471074380166,21.90082644628099,10.330578512396695
53,Left Center Back,5506,Javier Alejandro Mascherano,Barcelona,217,2864,85.9504132231405,97.52066115702479,68.59504132231406,86.98347107438018,28.09917355371901,19.00826446280992,4.132231404958678,69.62809917355372,88.42975206611571,89.46280991735537,96.69421487603306,75.20661157024794,21.90082644628099,88.42975206611571
62,Left Center Back,5598,Óscar Esau Duarte Gaitán,Espanyol,214,1215,24.380165289256198,14.256198347107437,15.702479338842975,13.429752066115702,75.82644628099173,30.991735537190085,67.35537190082644,43.18181818181818,15.082644628099173,71.28099173553719,56.19834710743802,24.586776859504134,77.27272727272727,48.14049586776859
80,Right Center Back,6376,Stefan Savić,Atlético Madrid,212,937,4.132231404958678,12.396694214876034,99.17355371900827,84.71074380165288,70.24793388429752,44.421487603305785,38.84297520661157,0.8264462809917356,76.44628099173553,50.413223140495866,43.388429752066116,95.0413223140496,21.90082644628099,3.71900826446281
103,Right Center Back,6561,Luis Hernández Rodríguez,Sporting Gijón,1041,3351,54.132231404958674,23.553719008264462,36.77685950413223,18.181818181818183,100.0,84.29752066115702,50.82644628099173,4.545454545454546,21.487603305785125,13.223140495867769,68.18181818181817,48.553719008264466,21.90082644628099,93.38842975206612
107,Left Center Back,6573,Bernardo José Espinosa Zúñiga,Sporting Gijón,1041,1494,31.818181818181817,9.50413223140496,98.7603305785124,52.47933884297521,86.15702479338843,44.421487603305785,77.06611570247934,86.98347107438018,55.578512396694215,53.925619834710744,40.082644628099175,99.17355371900827,72.52066115702479,79.13223140495867
111,Left Center Back,6592,Rúben Miguel Nunes Vezo,Valencia,207,927,58.67768595041323,55.78512396694215,7.851239669421488,89.25619834710744,99.58677685950413,51.652892561983464,50.0,99.17355371900827,77.89256198347107,99.58677685950413,88.01652892561982,2.066115702479339,21.90082644628099,86.36363636363636
124,Left Center Back,6614,Alexis Ruano Delgado,Getafe,216,1394,13.636363636363635,12.8099173553719,38.429752066115704,12.396694214876034,89.25619834710744,23.96694214876033,27.27272727272727,15.702479338842975,4.545454545454546,85.3305785123967,19.834710743801654,9.917355371900827,72.52066115702479,94.42148760330579
134,Left Center Back,6647,Zouhair Feddal,Levante UD,221,2606,88.01652892561982,64.46280991735537,45.66115702479338,27.892561983471076,92.14876033057851,28.512396694214875,87.19008264462809,25.0,26.65289256198347,46.48760330578512,86.15702479338843,35.9504132231405,51.2396694214876,71.900826446281
143,Left Center Back,6665,Íñigo Martínez Berridi,Real Sociedad,210,2787,86.57024793388429,90.49586776859503,71.900826446281,69.21487603305785,84.29752066115702,28.92561983471074,16.735537190082646,20.24793388429752,64.25619834710744,74.79338842975206,88.84297520661157,61.98347107438017,51.2396694214876,18.388429752066116
164,Left Center Back,6702,David Rodríguez Lombán,Granada,1049,2707,19.834710743801654,6.198347107438017,21.90082644628099,1.6528925619834711,73.34710743801654,52.066115702479344,34.29752066115703,67.35537190082644,1.0330578512396695,65.28925619834712,22.727272727272727,18.59504132231405,21.90082644628099,18.388429752066116
169,Right Center Back,6713,Diego Javier Llorente Ríos,Rayo Vallecano,360,3066,27.685950413223143,56.611570247933884,10.330578512396695,47.72727272727273,87.80991735537191,66.73553719008265,10.743801652892563,47.93388429752066,48.96694214876033,70.45454545454545,46.28099173553719,10.743801652892563,65.70247933884298,77.27272727272727
175,Right Center Back,6727,Raúl Albentosa Redal,Málaga,223,2514,96.69421487603306,45.04132231404959,56.19834710743802,40.289256198347104,84.29752066115702,52.892561983471076,39.87603305785124,17.768595041322314,42.768595041322314,77.89256198347107,89.6694214876033,56.19834710743802,77.27272727272727,84.29752066115702
191,Left Center Back,6752,Víctor Ruíz Torre,Villarreal,222,2986,86.57024793388429,88.42975206611571,52.47933884297521,11.776859504132231,97.93388429752066,88.42975206611571,35.9504132231405,43.18181818181818,11.776859504132231,25.413223140495866,73.96694214876032,51.03305785123967,21.90082644628099,3.71900826446281
195,Right Center Back,6762,Álvaro González Soberón,Espanyol,214,3351,84.71074380165288,57.02479338842975,91.94214876033058,40.289256198347104,50.20661157024794,42.768595041322314,53.71900826446281,22.520661157024794,40.082644628099175,52.68595041322314,83.88429752066115,88.22314049586777,21.90082644628099,86.36363636363636
205,Left Center Back,6777,Sidnei Rechel da Silva Júnior,RC Deportivo La Coruña,219,3067,18.181818181818183,54.33884297520662,93.38842975206612,70.24793388429752,96.69421487603306,85.53719008264463,42.561983471074385,3.71900826446281,73.14049586776859,38.22314049586777,54.958677685950406,94.62809917355372,21.90082644628099,48.14049586776859
206,Left Center Back,6778,Iván Ramis Barrios,Eibar,322,1949,21.90082644628099,28.719008264462808,84.29752066115702,3.925619834710744,78.92561983471074,77.68595041322314,45.04132231404959,2.6859504132231407,5.371900826446281,23.140495867768596,42.561983471074385,88.22314049586777,21.90082644628099,63.42975206611571
210,Right Center Back,6788,Xabier Etxeita Gorritxategi,Athletic Club,215,2601,90.49586776859503,62.8099173553719,27.066115702479337,38.84297520661157,42.768595041322314,4.132231404958678,19.421487603305785,60.9504132231405,34.090909090909086,65.28925619834712,57.02479338842975,20.867768595041323,21.90082644628099,59.917355371900825
214,Right Center Back,6794,Gustavo Daniel Cabral Cáceres,Celta Vigo,209,2892,39.66942148760331,76.03305785123968,67.76859504132231,94.21487603305785,78.92561983471074,16.94214876033058,29.75206611570248,30.785123966942145,91.32231404958677,95.0413223140496,40.909090909090914,52.47933884297521,21.90082644628099,29.958677685950413
220,Left Center Back,6804,Sergi Gómez Solà,Celta Vigo,209,2699,1.2396694214876034,19.421487603305785,64.87603305785123,59.09090909090909,95.0413223140496,61.15702479338842,32.02479338842975,47.107438016528924,55.578512396694215,66.73553719008265,41.735537190082646,59.71074380165289,21.90082644628099,44.214876033057855
