,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
4,Right Defensive Midfield,3160,Rene Krhin,Granada,1049,1496,92.69662921348315,6.741573033707865,22.191011235955056,9.831460674157304,19.662921348314608,5.056179775280898,38.764044943820224,31.179775280898873,19.382022471910112,15.730337078651685,63.48314606741573
8,Left Defensive Midfield,3292,Abdoulaye Doucouré,Granada,1049,1215,79.21348314606742,87.64044943820225,63.48314606741573,61.79775280898876,71.91011235955057,3.932584269662921,12.359550561797752,21.629213483146067,19.382022471910112,89.32584269662921,18.53932584269663
15,Right Defensive Midfield,3610,Roque Mesa Quevedo,Las Palmas,208,3161,68.53932584269663,84.26966292134831,6.179775280898876,32.02247191011236,84.26966292134831,10.112359550561797,20.224719101123593,17.415730337078653,39.8876404494382,56.17977528089888,97.75280898876404
16,Left Defensive Midfield,3637,Grzegorz Krychowiak,Sevilla,213,2326,96.06741573033707,26.40449438202247,7.303370786516854,5.337078651685393,63.48314606741573,30.89887640449438,69.66292134831461,56.17977528089888,19.382022471910112,15.730337078651685,44.10112359550562
36,Center Defensive Midfield,5203,Sergio Busquets i Burgos,Barcelona,217,3141,22.191011235955056,12.921348314606742,26.40449438202247,37.359550561797754,98.87640449438202,59.55056179775281,83.98876404494382,8.707865168539326,19.382022471910112,89.32584269662921,74.15730337078652
54,Center Defensive Midfield,5539,Carlos Henrique Casimiro,Real Madrid,220,1575,98.31460674157303,40.73033707865169,79.7752808988764,25.0,83.70786516853933,55.61797752808989,99.43820224719101,96.06741573033707,59.269662921348306,83.42696629213484,80.89887640449437
57,Center Defensive Midfield,5574,Toni Kroos,Real Madrid,220,2970,72.19101123595506,24.15730337078652,56.46067415730337,90.4494382022472,99.43820224719101,85.39325842696628,55.89887640449438,10.674157303370785,45.78651685393258,98.31460674157303,96.06741573033707
59,Right Defensive Midfield,5582,Celso Borges Mora,RC Deportivo La Coruña,219,1951,84.26966292134831,5.617977528089887,7.865168539325842,73.59550561797754,47.752808988764045,36.51685393258427,30.337078651685395,11.235955056179774,90.1685393258427,78.65168539325843,86.51685393258427
64,Left Defensive Midfield,5671,Alfred John Momar N''Diaye,Real Betis,218,3169,69.3820224719101,25.842696629213485,43.53932584269663,1.6853932584269662,39.325842696629216,1.1235955056179776,65.4494382022472,39.325842696629216,59.269662921348306,15.730337078651685,51.68539325842697
71,Right Defensive Midfield,5737,Steven N''Kemboanza Mike Christopher Nzonzi,Sevilla,213,2048,24.43820224719101,4.213483146067416,11.797752808988763,28.932584269662918,36.51685393258427,33.70786516853933,37.359550561797754,31.179775280898873,90.1685393258427,49.43820224719101,91.01123595505618
72,Center Defensive Midfield,5741,Enzo Nicolás Pérez,Valencia,207,1491,41.29213483146067,11.51685393258427,27.52808988764045,21.910112359550563,91.57303370786516,16.853932584269664,33.146067415730336,71.34831460674157,19.382022471910112,15.730337078651685,6.460674157303371
87,Right Defensive Midfield,6384,Gabriel Fernández Arenas,Atlético Madrid,212,3161,54.7752808988764,81.46067415730337,58.42696629213483,50.56179775280899,43.82022471910113,91.57303370786516,75.84269662921348,69.9438202247191,39.8876404494382,56.17977528089888,42.13483146067416
90,Right Defensive Midfield,6389,Mikel San José Domínguez,Athletic Club,215,2787,86.23595505617978,25.0,47.19101123595505,32.02247191011236,38.764044943820224,60.39325842696629,62.07865168539326,51.96629213483146,64.32584269662921,78.65168539325843,82.58426966292134
