,main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90
11,Center Forward,3486,Fernando Llorente Torres,Sevilla,213,1306,42.66666666666667,27.0,27.0,52.666666666666664,73.33333333333333,47.333333333333336,33.0,86.66666666666667,83.66666666666667,66.33333333333333,38.333333333333336,80.0,1.3333333333333335,6.666666666666667,22.666666666666664,10.666666666666668,39.666666666666664
41,Center Forward,5217,Iago Aspas Juncal,Celta Vigo,209,2892,60.333333333333336,54.333333333333336,67.66666666666666,38.0,88.33333333333333,56.00000000000001,62.66666666666667,68.33333333333333,83.66666666666667,85.0,52.0,45.33333333333333,40.33333333333333,75.33333333333333,83.33333333333334,61.66666666666667,37.333333333333336
42,Center Forward,5246,Luis Alberto Suárez Díaz,Barcelona,217,3233,98.66666666666667,100.0,100.0,67.33333333333333,92.66666666666666,8.666666666666668,77.33333333333333,99.66666666666667,76.66666666666667,83.0,88.66666666666667,10.333333333333334,70.66666666666667,73.33333333333333,61.66666666666667,55.333333333333336,5.333333333333334
50,Right Center Forward,5487,Antoine Griezmann,Atlético Madrid,212,3349,67.33333333333333,90.66666666666666,86.33333333333333,76.0,89.33333333333333,70.0,72.0,61.66666666666667,55.666666666666664,90.0,47.333333333333336,13.333333333333334,18.666666666666668,80.0,90.33333333333333,91.33333333333333,63.33333333333333
73,Center Forward,6038,John Guidetti,Celta Vigo,209,1117,83.66666666666667,69.33333333333334,84.33333333333334,96.66666666666667,77.33333333333333,81.33333333333333,73.33333333333333,6.666666666666667,98.33333333333333,86.33333333333333,49.333333333333336,2.3333333333333335,82.66666666666667,37.333333333333336,59.333333333333336,72.0,86.66666666666667
85,Left Center Forward,6382,Fernando José Torres Sanz,Atlético Madrid,212,1582,72.33333333333334,92.0,89.33333333333333,49.0,45.0,27.666666666666668,92.66666666666666,54.0,26.666666666666668,43.333333333333336,92.66666666666666,86.0,79.66666666666666,91.33333333333333,25.333333333333336,70.66666666666667,62.33333333333333
95,Center Forward,6394,Aritz Aduriz Zubeldia,Athletic Club,215,2792,94.66666666666667,64.33333333333333,92.0,78.33333333333333,60.333333333333336,14.000000000000002,43.333333333333336,84.0,83.66666666666667,49.333333333333336,42.0,33.33333333333333,74.0,53.666666666666664,12.666666666666668,50.33333333333333,8.333333333333332
99,Center Forward,6401,Kevin Gameiro,Sevilla,213,2046,97.33333333333334,38.333333333333336,94.66666666666667,86.0,63.0,23.0,52.33333333333333,61.66666666666667,70.0,61.66666666666667,99.33333333333333,77.66666666666666,12.333333333333334,82.66666666666667,57.99999999999999,63.33333333333333,41.333333333333336
100,Center Forward,6402,Francisco Alcácer García,Valencia,207,2327,85.33333333333334,41.66666666666667,79.33333333333333,64.0,70.0,18.0,9.333333333333334,84.0,26.666666666666668,61.66666666666667,25.333333333333336,10.333333333333334,10.0,9.0,64.66666666666666,7.333333333333333,45.33333333333333
105,Center Forward,6566,Borja González Tomás,Eibar,322,2698,90.66666666666666,60.333333333333336,87.33333333333333,65.33333333333333,11.666666666666666,75.66666666666667,17.666666666666668,48.333333333333336,62.66666666666667,10.666666666666668,57.333333333333336,45.33333333333333,16.333333333333332,21.333333333333336,42.66666666666667,39.33333333333333,74.66666666666667
117,Center Forward,6602,Miguel Ángel Guerrero Martín,Sporting Gijón,1041,1206,9.0,31.666666666666664,7.666666666666666,34.66666666666667,52.33333333333333,95.66666666666667,75.66666666666667,31.333333333333336,26.666666666666668,57.666666666666664,42.66666666666667,91.33333333333333,14.666666666666666,28.000000000000004,80.66666666666666,8.0,89.33333333333333
132,Right Center Forward,6630,Jorge Molina Vidal,Real Betis,218,933,19.333333333333332,10.0,3.0,31.0,39.0,92.33333333333333,21.666666666666668,42.66666666666667,93.33333333333333,40.666666666666664,88.0,67.66666666666666,75.66666666666667,49.333333333333336,7.333333333333333,62.66666666666667,28.000000000000004
