,main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
14,Left Midfield,3601,Charly Musonda Junior,Real Betis,218,1212,97.98994974874373,72.8643216080402,23.869346733668344,19.09547738693467,53.266331658291456,61.30653266331658,98.99497487437185,26.13065326633166,87.43718592964824,17.33668341708543,57.03517587939698,62.311557788944725,17.33668341708543
19,Left Wing,4320,Neymar da Silva Santos Junior,Barcelona,217,3136,99.49748743718592,84.67336683417085,70.35175879396985,96.4824120603015,20.85427135678392,11.055276381909549,99.49748743718592,93.71859296482413,95.97989949748744,98.49246231155779,86.4321608040201,29.145728643216078,96.4824120603015
32,Left Midfield,5199,Jorge Resurrección Merodio,Atlético Madrid,212,3162,10.552763819095476,42.211055276381906,30.65326633165829,82.91457286432161,71.35678391959799,66.83417085427136,54.2713567839196,96.73366834170855,22.613065326633166,41.45728643216081,68.5929648241206,31.65829145728643,87.43718592964824
33,Right Wing,5200,Lucas Vázquez Iglesias,Real Madrid,220,929,86.4321608040201,94.9748743718593,97.98994974874373,93.71859296482413,92.46231155778895,98.49246231155779,97.98994974874373,100.0,93.96984924623115,90.20100502512562,93.71859296482413,58.79396984924623,97.48743718592965
37,Left Wing,5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,220,3336,40.45226130653266,69.34673366834171,48.49246231155779,25.628140703517587,0.5025125628140703,0.5025125628140703,28.643216080402013,89.69849246231156,51.75879396984925,100.0,81.90954773869346,86.93467336683418,38.44221105527638
51,Right Wing,5503,Lionel Andrés Messi Cuccittini,Barcelona,217,2863,100.0,99.49748743718592,3.2663316582914574,83.66834170854271,2.512562814070352,1.0050251256281406,80.15075376884423,98.99497487437185,94.47236180904522,98.99497487437185,93.71859296482413,25.628140703517587,90.7035175879397
56,Right Wing,5560,Carlos Alberto Vela Garrido,Real Sociedad,210,2973,58.291457286432156,32.663316582914575,54.52261306532663,65.57788944723619,39.698492462311556,21.608040201005025,92.96482412060301,46.231155778894475,44.72361809045226,45.7286432160804,7.035175879396985,10.552763819095476,65.32663316582915
63,Left Midfield,5633,Yannick Ferreira Carrasco,Atlético Madrid,212,1489,98.49246231155779,72.36180904522614,30.65326633165829,45.22613065326633,99.49748743718592,55.27638190954774,60.30150753768844,20.100502512562816,97.48743718592965,68.34170854271356,37.185929648241206,85.92964824120602,39.698492462311556
67,Right Wing,5718,Rodrigo Moreno Machado,Valencia,207,1395,33.66834170854271,16.08040201005025,65.82914572864321,46.733668341708544,19.597989949748744,43.21608040201005,48.99497487437186,75.37688442211056,36.18090452261307,35.427135678391956,1.0050251256281406,22.110552763819097,50.25125628140703
70,Right Wing,5724,Fayçal Fajr,RC Deportivo La Coruña,219,2883,9.045226130653267,35.427135678391956,61.80904522613066,74.87437185929649,55.27638190954774,48.24120603015075,19.09547738693467,35.92964824120603,12.562814070351758,45.7286432160804,81.90954773869346,13.5678391959799,70.85427135678391
