,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
0,Goalkeeper,3379,Alphonse Areola,Villarreal,222,2984,21.73913043478261,89.13043478260869,90.21739130434783,60.86956521739131,92.93478260869566,89.13043478260869,34.78260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.76898549453145
1,Goalkeeper,4691,Claudio Andrés Bravo Muñoz,Barcelona,217,2957,23.91304347826087,97.82608695652173,97.82608695652173,6.521739130434782,28.26086956521739,8.152173913043478,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33711819608683
2,Goalkeeper,5577,Francisco Guillermo Ochoa Magaña,Málaga,223,928,46.19565217391305,80.97826086956522,97.82608695652173,31.521739130434785,28.26086956521739,4.891304347826087,36.95652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.79259050961352
3,Goalkeeper,5597,Keylor Navas Gamboa,Real Madrid,220,3152,36.95652173913043,90.21739130434783,92.3913043478261,71.73913043478261,96.73913043478261,59.78260869565217,79.34782608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49840736813046
4,Goalkeeper,6378,Jan Oblak,Atlético Madrid,212,3535,10.869565217391305,100.0,97.82608695652173,21.73913043478261,28.26086956521739,40.21739130434783,16.304347826086957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19146321987299
5,Goalkeeper,6576,Gorka Iraizoz Moreno,Athletic Club,215,3440,17.391304347826086,66.30434782608695,85.32608695652173,97.28260869565217,64.13043478260869,85.86956521739131,54.347826086956516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38356929013045
6,Goalkeeper,6610,Iván Cuéllar Sacristán,Sporting Gijón,1041,2972,86.95652173913044,50.0,24.456521739130434,82.06521739130434,60.32608695652174,93.47826086956522,5.434782608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.93138447197933
7,Goalkeeper,6625,Vicente Guaita Panadero,Getafe,216,3534,70.65217391304348,22.82608695652174,28.26086956521739,69.56521739130434,64.13043478260869,96.73913043478261,19.565217391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.94772031546646
8,Goalkeeper,6654,Antonio Adán Garrido,Real Betis,218,3357,83.69565217391305,59.78260869565217,53.2608695652174,42.934782608695656,28.26086956521739,78.80434782608695,4.3478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63167870274977
9,Goalkeeper,6694,Gerónimo Rulli,Real Sociedad,210,3343,51.08695652173913,58.69565217391305,66.30434782608695,65.21739130434783,71.73913043478261,69.02173913043478,60.86956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.097796278721475
10,Goalkeeper,6730,Rubén Iván Martínez Andrade,Levante UD,221,1396,32.608695652173914,6.521739130434782,8.695652173913043,49.45652173913043,81.52173913043478,19.565217391304348,31.521739130434785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.06213207499398
11,Goalkeeper,6792,Pau López Sabata,Espanyol,214,3259,46.19565217391305,13.043478260869565,14.130434782608695,69.56521739130434,28.26086956521739,49.45652173913043,29.347826086956523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29686980093759
12,Goalkeeper,6823,Sergio Rico González,Sevilla,213,3166,67.3913043478261,70.65217391304348,53.2608695652174,29.347826086956523,28.26086956521739,66.84782608695652,73.36956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.55524160075595
13,Goalkeeper,6884,Sergio Álvarez Conde,Celta Vigo,209,2795,44.565217391304344,25.0,31.521739130434785,67.3913043478261,71.73913043478261,61.95652173913043,43.47826086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.39226759827274
14,Goalkeeper,6898,Jaume Doménech Sánchez,Valencia,207,1579,91.30434782608695,93.47826086956522,88.04347826086956,17.934782608695652,98.91304347826086,16.304347826086957,46.73913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.53930228341564
15,Goalkeeper,8697,Andrés Eduardo Fernández Moreno,Granada,1049,3455,30.434782608695656,7.608695652173914,12.5,59.2391304347826,28.26086956521739,70.65217391304348,39.130434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.35341613331179
16,Goalkeeper,10763,Asier Riesgo Unamuno,Eibar,322,3159,15.217391304347828,4.3478260869565215,28.26086956521739,94.02173913043478,71.73913043478261,88.04347826086956,10.869565217391305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.54885351637947
17,Goalkeeper,23843,Diego Mariño Villar,Levante UD,221,2144,74.45652173913044,23.91304347826087,20.108695652173914,69.56521739130434,28.26086956521739,52.17391304347826,82.6086956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.03813653156564
18,Goalkeeper,24255,Juan Carlos Martín Corral,Rayo Vallecano,360,1767,78.26086956521739,20.652173913043477,4.891304347826087,98.91304347826086,71.73913043478261,45.65217391304348,85.86956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.23255525628191
19,Goalkeeper,25144,Diego Alves Carreira,Valencia,207,1209,82.06521739130434,42.391304347826086,39.130434782608695,4.3478260869565215,28.26086956521739,10.869565217391305,67.3913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54300144010151
20,Goalkeeper,26070,Antonio Rodríguez Martínez,Rayo Vallecano,360,928,18.478260869565215,31.521739130434785,94.56521739130434,97.28260869565217,81.52173913043478,18.478260869565215,89.13043478260869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23546699211367
