,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate
10,Goalkeeper,3379,Alphonse Areola,Villarreal,222,2984,21.73913043478261,89.13043478260869,90.21739130434783,60.86956521739131,92.93478260869566,89.13043478260869,34.78260869565217
26,Goalkeeper,4691,Claudio Andrés Bravo Muñoz,Barcelona,217,2957,23.91304347826087,97.82608695652173,97.82608695652173,6.521739130434782,28.26086956521739,8.152173913043478,100.0
58,Goalkeeper,5577,Francisco Guillermo Ochoa Magaña,Málaga,223,928,46.19565217391305,80.97826086956522,97.82608695652173,31.521739130434785,28.26086956521739,4.891304347826087,36.95652173913043
61,Goalkeeper,5597,Keylor Navas Gamboa,Real Madrid,220,3152,36.95652173913043,90.21739130434783,92.3913043478261,71.73913043478261,96.73913043478261,59.78260869565217,79.34782608695652
82,Goalkeeper,6378,Jan Oblak,Atlético Madrid,212,3535,10.869565217391305,100.0,97.82608695652173,21.73913043478261,28.26086956521739,40.21739130434783,16.304347826086957
108,Goalkeeper,6576,Gorka Iraizoz Moreno,Athletic Club,215,3440,17.391304347826086,66.30434782608695,85.32608695652173,97.28260869565217,64.13043478260869,85.86956521739131,54.347826086956516
122,Goalkeeper,6610,Iván Cuéllar Sacristán,Sporting Gijón,1041,2972,86.95652173913044,50.0,24.456521739130434,82.06521739130434,60.32608695652174,93.47826086956522,5.434782608695652
129,Goalkeeper,6625,Vicente Guaita Panadero,Getafe,216,3534,70.65217391304348,22.82608695652174,28.26086956521739,69.56521739130434,64.13043478260869,96.73913043478261,19.565217391304348
137,Goalkeeper,6654,Antonio Adán Garrido,Real Betis,218,3357,83.69565217391305,59.78260869565217,53.2608695652174,42.934782608695656,28.26086956521739,78.80434782608695,4.3478260869565215
159,Goalkeeper,6694,Gerónimo Rulli,Real Sociedad,210,3343,51.08695652173913,58.69565217391305,66.30434782608695,65.21739130434783,71.73913043478261,69.02173913043478,60.86956521739131
177,Goalkeeper,6730,Rubén Iván Martínez Andrade,Levante UD,221,1396,32.608695652173914,6.521739130434782,8.695652173913043,49.45652173913043,81.52173913043478,19.565217391304348,31.521739130434785
