player,avg_rating,team,pos,pos_role
Aaron Mooy,6.4433333333333325,Australia,MF,MC
Abdallah El Said,5.935833333333334,Egypt,MF,"AMC, AMR"
Abdiel Arroyo,5.9675,Panama,Sub,Sub
Abdullah Al-Mayoof,5.0625,Saudi Arabia,GK,GK
Abdullah Otayf,6.224166666666666,Saudi Arabia,MF,DMC
Abdullahi Shehu,5.8475,Nigeria,DF,DR
Abel Aguilar,5.6825,Colombia,MF,DMC
Achraf Hakimi,5.754545454545454,Morocco,DF,DL
Adem Ljajic,5.656000000000001,Serbia,"MF, Sub","AMC, AML, Sub"
Adnan Januzaj,5.9425,Belgium,MF,AMC
Adolfo Machado,5.5725,Panama,DF,DR
Adrien Silva,5.96,Portugal,Sub,Sub
Ahmed Fathy,5.62,Egypt,DF,DR
Ahmed Hegazi,6.1025,Egypt,DF,DC
Ahmed Khalil,5.595000000000001,Tunisia,Sub,Sub
Ahmed Musa,6.438,Nigeria,"FW, Sub","FW, Sub"
Alan Dzagoev,6.38,Russia,MF,AMC
Albert Gudmundsson,4.4399999999999995,Iceland,Sub,Sub
Alberto Rodriguez,5.87375,Peru,DF,DC
Albin Ekdal,5.755,Sweden,MF,MC
Aleksandar Kolarov,5.98,Serbia,DF,DL
Aleksandar Mitrovic,5.913333333333334,Serbia,FW,FW
Aleksandar Prijovic,6.0,Serbia,Sub,Sub
Aleksandr Erokhin,5.95,Russia,Sub,Sub
Aleksandr Golovin,6.385000000000001,Russia,MF,"AMC, AML"
Aleksandr Samedov,6.103125,Russia,MF,"AMC, AMR"
Aleksey Miranchuk,5.6625,Russia,MF,AMC
Alex Iwobi,5.861666666666667,Nigeria,"MF, Sub","AMR, Sub"
Alfred Finnbogason,5.8308333333333335,Iceland,FW,FW
Alfred N'Diaye,5.7875,Senegal,MF,"DMC, MC"
Ali Gabr,5.7075,Egypt,DF,DC
Ali Hadi Albulayhi,5.9,Saudi Arabia,DF,DC
Ali Maaloul,5.185,Tunisia,DF,DL
Alireza Beiranvand,5.781818181818182,Iran,GK,GK
Alireza Jahanbakhsh,5.81,Iran,"MF, Sub","MR, Sub"
Alisson,5.7545,Brazil,GK,GK
Amine Harit,5.576666666666667,Morocco,MF,AML
Amr Warda,5.887777777777778,Egypt,"MF, Sub","AMR, Sub"
Anderson Santamaria,5.607142857142857,Peru,"DF, Sub","DC, Sub"
Andre Carrillo,6.159166666666667,Peru,MF,AMR
Andre Silva,5.831666666666667,Portugal,"FW, Sub","FW, Sub"
Andreas Christensen,5.7825,Denmark,"DF, MF","DC, DMC, MC"
Andreas Cornelius,5.753,Denmark,"FW, Sub","FW, Sub"
Andreas Granqvist,6.2005,Sweden,DF,DC
Andrej Kramaric,5.832941176470588,Croatia,"FW, MF, Sub","AMC, FW, Sub"
Andres Guardado,5.89,Mexico,MF,"DMC, MC"
Andres Iniesta,5.8580000000000005,Spain,"MF, Sub","MC, Sub"
Andrew Nabbout,5.87625,Australia,FW,FW
Andrija Zivkovic,6.0649999999999995,Serbia,Sub,Sub
Angel Di Maria,5.8975,Argentina,"FW, MF","AML, FWL, ML"
Anibal Godoy,5.453333333333333,Panama,MF,MC
Anice Badri,5.626363636363636,Tunisia,"FW, MF, Sub","FWL, MC, Sub"
Ante Rebic,5.896,Croatia,MF,"AML, MR"
Antoine Griezmann,6.182142857142857,France,"FW, MF","AMC, FW"
Antonio Rudiger,5.8925,Germany,DF,DC
Antonio Rukavina,6.058333333333334,Serbia,"DF, Sub","DR, Sub"
Ari Freyr Skulason,6.03,Iceland,Sub,Sub
Arkadiusz Milik,5.625,Poland,MF,AMC
Armando Cooper,5.62125,Panama,MF,MC
Aron Gunnarsson,5.824166666666667,Iceland,MF,"DMC, MC"
Artem Dzyuba,6.270714285714286,Russia,"FW, Sub","FW, Sub"
Artur Jedrzejczyk,5.98,Poland,DF,DL
Ashley Young,5.8705,England,MF,ML
Axel Witsel,5.8325,Belgium,MF,"DMC, MC"
Aymen Mathlouthi,5.645,Tunisia,GK,GK
Ayoub El Kaabi,5.772,Morocco,"FW, Sub","FW, Sub"
Aziz Behich,5.8566666666666665,Australia,DF,DL
Aziz Bouhaddouz,5.755,Morocco,Sub,Sub
