,competition,date,match,team,pos,pos_role,player,match_id,original_rating
0,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DC,Ilya Kutepov,7525,6.455
4,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DC,Sergei Ignashevich,7525,6.615
8,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DL,Yuri Zhirkov,7525,6.4925
11,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,DF,DR,Mário Figueira Fernandes,7525,6.42
15,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,FW,FW,Fyodor Smolov,7525,5.8175
19,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,GK,GK,Igor Akinfeev,7525,5.85
23,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AMC,Alan Dzagoev,7525,6.38
24,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AML,Aleksandr Golovin,7525,7.125
27,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,AMR,Aleksandr Samedov,7525,6.2475000000000005
31,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,DMC,Roman Zobnin,7525,6.455
35,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,MF,DMC,Yury Gazinskiy,7525,6.455
38,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Artem Dzyuba,7525,7.220000000000001
42,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Daler Kuzyaev,7525,6.54
46,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Russia,Sub,Sub,Denis Cheryshev,7525,6.37
50,World Cup 2018,2018-06-14,"Russia - Saudi Arabia, 5 - 0",Saudi Arabia,DF,DC,Osama Abdulrezag Hawsawi,7525,5.13
