player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,long_name_match,score,revisar,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,club_name_original
3023,Yuri Berchiche Izeta,Real Sociedad,210,['Left Back'],21,Yuri Berchiche Izeta,100.0,False,183512,https://sofifa.com/player/183512/yuri-berchiche-izeta/160002,Yuri,Yuri Berchiche Izeta,LB,71,76,1800000.0,20000.0,25,1990-02-10,177,77,457.0,Real Sociedad,Spain Primera Division,1.0,SUB,19.0,,2012-01-01,2016.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,,,Dives Into Tackles (AI),79.0,55.0,61.0,71.0,70.0,82.0,74,36,65,63,51,69,77,53,60,75,78,80,75,54,73,78,84,85,77,79,88,57,45,45,59,,74,75,77,12,13,9,8,11,,61,61,61,64,61,61,61,64,61,61,61,65,62,62,62,65,71,68,68,68,71,71,72,72,72,71,16,https://cdn.sofifa.net/players/183/512/16_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,Real Sociedad
3063,Danilo Luiz da Silva,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing']",24,Danilo Luiz da Silva,100.0,False,199304,https://sofifa.com/player/199304/danilo-luiz-da-silva/160002,Danilo,Danilo Luiz da Silva,RB,80,86,16500000.0,90000.0,23,1991-07-15,184,78,243.0,Real Madrid,Spain Primera Division,1.0,SUB,23.0,,2015-07-01,2021.0,54,Brazil,1370.0,RB,15.0,Right,4,3,2,High/Medium,Lean (170-185),No,,,"Long Shot Taker (AI), Speed Dribbler (AI)",81.0,75.0,76.0,78.0,80.0,79.0,79,68,72,76,67,79,70,72,72,80,78,84,76,80,66,86,75,84,79,81,74,81,78,77,75,,79,82,83,14,5,15,14,5,,77,77,77,78,78,78,78,78,77,77,77,78,78,78,78,78,81,79,79,79,81,80,79,79,79,80,18,https://cdn.sofifa.net/players/199/304/16_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png,Real Madrid CF
3130,Gaël Kakuta,Sevilla,213,"['Left Midfield', 'Right Wing']",2,Gaël Kakuta,100.0,False,186197,https://sofifa.com/player/186197/gael-kakuta/160002,G. Kakuta,Gaël Kakuta,"LM, RM",76,78,6500000.0,60000.0,24,1991-06-21,173,64,481.0,Sevilla,Spain Primera Division,1.0,SUB,12.0,,2015-07-01,2019.0,18,France,,,,Left,3,4,1,Medium/Medium,Lean (170-185),Yes,,,Speed Dribbler (AI),81.0,68.0,74.0,80.0,38.0,63.0,82,68,67,74,62,80,77,69,64,81,84,78,86,68,82,77,80,73,65,63,42,46,67,74,51,,23,41,25,7,12,7,14,13,,72,72,72,76,74,74,74,76,74,74,74,76,70,70,70,76,61,56,56,56,61,57,49,49,49,57,17,https://cdn.sofifa.net/players/186/197/16_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Sevilla FC
3160,Rene Krhin,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",23,Rene Krhin,100.0,False,192205,https://sofifa.com/player/192205/rene-krhin/160002,R. Krhin,Rene Krhin,"CDM, CM",75,80,4500000.0,35000.0,25,1990-05-21,189,78,110832.0,Granada,Spain Primera Division,1.0,SUB,21.0,,2015-07-23,2019.0,44,Slovenia,1361.0,LDM,21.0,Right,3,2,1,Medium/Medium,Normal (185+),No,,,,55.0,55.0,70.0,65.0,71.0,76.0,61,50,59,79,47,63,61,55,74,75,53,56,52,74,49,66,67,76,79,57,71,80,53,66,59,,61,81,64,10,10,10,15,5,,62,62,62,63,64,64,64,63,66,66,66,66,72,72,72,66,70,75,75,75,70,70,72,72,72,70,17,https://cdn.sofifa.net/players/192/205/16_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1361/60.png,https://cdn.sofifa.net/flags/si.png,Granada CF
3240,Mathew Ryan,Valencia,207,['Goalkeeper'],8,Mathew David Ryan,78.57142857142857,True,199005,https://sofifa.com/player/199005/mathew-ryan/160002,M. Ryan,Mathew David Ryan,GK,78,83,9500000.0,80000.0,23,1992-04-08,182,85,461.0,Valencia,Spain Primera Division,1.0,GK,25.0,,2015-07-21,2021.0,195,Australia,1415.0,SUB,1.0,Right,4,1,1,Medium/Medium,Stocky (170-185),No,,,GK Long Throw,,,,,,,13,11,14,40,13,13,13,12,45,14,62,58,62,78,60,20,83,36,83,19,43,20,13,53,25,,16,20,17,80,74,82,75,84,60.0,28,28,28,30,30,30,30,30,34,34,34,32,35,35,35,32,30,34,34,34,30,30,33,33,33,30,78,https://cdn.sofifa.net/players/199/005/16_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png,Valencia CF
3253,Adil Rami,Sevilla,213,"['Right Center Back', 'Left Center Back', 'Center Attacking Midfield']",28,Adil Rami,100.0,False,183280,https://sofifa.com/player/183280/adil-rami/160002,A. Rami,Adil Rami,CB,79,79,7500000.0,80000.0,29,1985-12-27,190,88,481.0,Sevilla,Spain Primera Division,1.0,RCB,3.0,,2015-07-01,2019.0,18,France,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,,#Strength,"Power Free-Kick, Power Header",64.0,54.0,45.0,57.0,82.0,81.0,28,45,80,58,45,53,43,55,64,64,59,68,58,63,50,83,76,64,90,58,82,81,24,22,48,,81,84,80,5,3,5,5,3,,58,58,58,50,52,52,52,50,50,50,50,51,56,56,56,51,65,70,70,70,65,69,79,79,79,69,11,https://cdn.sofifa.net/players/183/280/16_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Sevilla FC
3292,Abdoulaye Doucouré,Granada,1049,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']",15,Clifford Aboagye,52.94117647058824,True,220064,https://sofifa.com/player/220064/clifford-aboagye/160002,C. Aboagye,Clifford Aboagye,"CAM, CM",68,81,1700000.0,8000.0,20,1995-02-11,163,55,110832.0,Granada,Spain Primera Division,1.0,RES,30.0,,2013-08-15,2018.0,117,Ghana,,,,Right,3,3,1,High/Medium,Lean (170-),No,,,,82.0,56.0,66.0,72.0,38.0,46.0,57,52,43,75,55,70,70,43,63,71,86,79,86,56,94,62,53,62,35,56,53,26,57,68,69,,37,39,52,8,10,13,7,7,,59,59,59,67,65,65,65,67,68,68,68,67,63,63,63,67,56,53,53,53,56,54,44,44,44,54,14,https://cdn.sofifa.net/players/220/064/16_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/gh.png,Granada CF
3302,Nordin Amrabat,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward']",13,Noureddine Amrabat,87.5,False,183108,https://sofifa.com/player/183108/nordin-amrabat/160002,N. Amrabat,Noureddine Amrabat,"ST, LM, CAM",78,78,8500000.0,60000.0,28,1987-03-31,178,77,573.0,Málaga,Spain Primera Division,1.0,LM,11.0,,2015-07-01,2019.0,129,Morocco,,,,Right,2,4,1,Medium/Low,Normal (170-185),No,,#Dribbler,"Selfish, Speed Dribbler (AI), Outside Foot Shot",86.0,76.0,78.0,84.0,38.0,72.0,78,76,68,81,73,86,76,68,67,83,87,85,88,76,75,81,58,74,75,72,67,34,77,82,77,,29,41,29,11,14,7,6,13,,78,78,78,81-3,80-2,80-2,80-2,81-3,81-3,81-3,81-3,80-2,74,74,74,80-2,62,59,59,59,62,58,52,52,52,58,18,https://cdn.sofifa.net/players/183/108/16_120.png,https://cdn.sofifa.net/teams/573/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png,Málaga CF
3324,Eric Bertrand Bailly,Villarreal,222,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']",25,Eric Bertrand Bailly,100.0,False,225508,https://sofifa.com/player/225508/eric-bertrand-bailly/160002,E. Bailly,Eric Bertrand Bailly,CB,73,83,4100000.0,30000.0,21,1994-04-12,187,77,483.0,Villarreal,Spain Primera Division,1.0,RCB,24.0,,2015-01-29,2020.0,108,Côte d'Ivoire,111112.0,RB,6.0,Right,2,2,1,High/Low,Lean (185+),No,,,Power Header,77.0,42.0,49.0,51.0,75.0,74.0,41,33,64,61,36,42,42,43,56,58,74,80,68,58,56,58,74,68,72,48,86,78,36,35,46,,73,77,81,14,14,10,9,8,,52,52,52,51,50,50,50,51,50,50,50,52,54,54,54,52,66,67,67,67,66,69,73,73,73,69,16,https://cdn.sofifa.net/players/225/508/16_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/111112/60.png,https://cdn.sofifa.net/flags/ci.png,Villarreal CF
3379,Alphonse Areola,Villarreal,222,['Goalkeeper'],32,Alphonse Aréola,93.33333333333333,False,193105,https://sofifa.com/player/193105/alphonse-areola/160002,A. Aréola,Alphonse Aréola,GK,76,85,7000000.0,40000.0,22,1993-02-27,191,88,483.0,Villarreal,Spain Primera Division,1.0,GK,13.0,Paris Saint-Germain,,2016.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,,,,20,19,14,33,16,12,16,16,32,12,54,52,53,77,58,25,59,28,75,14,26,23,17,34,25,,19,18,12,77,74,71,72,80,53.0,29,29,29,28,28,28,28,28,29,29,29,29,29,29,29,29,28,29,29,29,28,28,29,29,29,28,76,https://cdn.sofifa.net/players/193/105/16_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Villarreal CF
